month,language,push_events,unique_actors,events_per_actor,actor_rank
2011-01,C,3973,1555,2.554983922829582,9
2011-01,C#,4496,1845,2.4368563685636855,5
2011-01,C++,3819,1560,2.4480769230769233,8
2011-01,Haskell,998,419,2.3818615751789975,14
2011-01,Java,11611,4505,2.577358490566038,2
2011-01,JavaScript,14706,5450,2.698348623853211,1
2011-01,Lua,1391,574,2.423344947735192,13
2011-01,Objective-C,4068,1667,2.4403119376124773,7
2011-01,PHP,7231,2802,2.5806566738044254,4
2011-01,Perl,2797,1078,2.5946196660482377,11
2011-01,Python,10036,3740,2.6834224598930483,3
2011-01,R,2341,829,2.8238841978287095,12
2011-01,Ruby,4644,1812,2.562913907284768,6
2011-01,Scala,2882,1123,2.566340160284951,10
2011-02,C,4133,1637,2.5247403787416003,9
2011-02,C#,5254,1986,2.6455186304128904,5
2011-02,C++,4386,1951,2.2480779087647362,7
2011-02,Haskell,1000,380,2.6315789473684212,14
2011-02,Java,11492,4652,2.470335339638865,2
2011-02,JavaScript,15868,5751,2.759172317857764,1
2011-02,Lua,1433,589,2.432937181663837,13
2011-02,Objective-C,4293,1753,2.448944666286366,8
2011-02,PHP,7708,3146,2.4500953591862684,4
2011-02,Perl,2866,1159,2.472821397756687,10
2011-02,Python,11091,4071,2.724392041267502,3
2011-02,R,2580,985,2.6192893401015227,12
2011-02,Ruby,5054,1952,2.589139344262295,6
2011-02,Scala,2979,1142,2.6085814360770576,11
2011-03,C,4728,2011,2.3510691198408753,8
2011-03,C#,5683,2529,2.247133254250692,5
2011-03,C++,4858,2127,2.2839680300893277,7
2011-03,Haskell,1143,437,2.6155606407322654,14
2011-03,Java,12678,4898,2.5884034299714167,2
2011-03,JavaScript,15839,5686,2.7856137882518466,1
2011-03,Lua,1679,686,2.447521865889213,13
2011-03,Objective-C,4511,1673,2.6963538553496713,9
2011-03,PHP,8177,3552,2.3020833333333335,4
2011-03,Perl,3310,1402,2.3609129814550642,10
2011-03,Python,11888,4879,2.436564869850379,3
2011-03,R,2873,1175,2.4451063829787234,12
2011-03,Ruby,5468,2135,2.5611241217798595,6
2011-03,Scala,3121,1320,2.3643939393939393,11
2011-04,C,4847,1867,2.596143545795394,9
2011-04,C#,5555,2352,2.3618197278911564,6
2011-04,C++,5091,2085,2.441726618705036,7
2011-04,Haskell,1252,447,2.80089485458613,14
2011-04,Java,13696,5469,2.504296946425306,3
2011-04,JavaScript,17443,5776,3.019909972299169,1
2011-04,Lua,1790,681,2.6284875183553598,13
2011-04,Objective-C,4860,1908,2.547169811320755,8
2011-04,PHP,8857,3861,2.293965293965294,4
2011-04,Perl,3430,1167,2.9391602399314483,12
2011-04,Python,12737,5486,2.321728034998177,2
2011-04,R,2857,1216,2.3495065789473686,11
2011-04,Ruby,5844,2369,2.466863655550865,5
2011-04,Scala,3413,1497,2.279893119572478,10
2011-05,C,5243,2049,2.5588091752074185,8
2011-05,C#,6110,2326,2.6268271711092,6
2011-05,C++,5237,2214,2.365401987353207,7
2011-05,Haskell,1241,535,2.319626168224299,14
2011-05,Java,13526,5461,2.476835744369163,2
2011-05,JavaScript,19116,7103,2.691257215261157,1
2011-05,Lua,1967,808,2.4344059405940595,13
2011-05,Objective-C,5130,1998,2.5675675675675675,9
2011-05,PHP,9095,3445,2.640058055152395,4
2011-05,Perl,3442,1491,2.3085177733065056,10
2011-05,Python,13579,4816,2.819559800664452,3
2011-05,R,3402,1416,2.402542372881356,12
2011-05,Ruby,6218,2510,2.4772908366533866,5
2011-05,Scala,3644,1461,2.4941820670773445,11
2011-06,C,5223,2077,2.514684641309581,9
2011-06,C#,6428,2596,2.4761171032357474,5
2011-06,C++,5657,2217,2.5516463689670728,7
2011-06,Haskell,1360,574,2.3693379790940767,14
2011-06,Java,14903,5733,2.5995115995115996,3
2011-06,JavaScript,19319,6669,2.8968361073624234,1
2011-06,Lua,1886,813,2.3198031980319804,13
2011-06,Objective-C,5085,2142,2.3739495798319328,8
2011-06,PHP,9474,3494,2.711505437893532,4
2011-06,Perl,3473,1417,2.450952717007763,11
2011-06,Python,15206,6229,2.4411623053459626,2
2011-06,R,3437,1378,2.4941944847605226,12
2011-06,Ruby,6324,2435,2.5971252566735115,6
2011-06,Scala,3926,1790,2.1932960893854747,10
2011-07,C,5880,2375,2.4757894736842103,9
2011-07,C#,6597,2759,2.3910837259876767,5
2011-07,C++,5873,2445,2.4020449897750513,7
2011-07,Haskell,1311,575,2.28,14
2011-07,Java,15532,5585,2.7810205908683976,3
2011-07,JavaScript,21262,7841,2.7116439229690092,1
2011-07,Lua,2181,975,2.236923076923077,13
2011-07,Objective-C,5925,2383,2.486361728913135,8
2011-07,PHP,10070,4623,2.1782392385896605,4
2011-07,Perl,3566,1264,2.8212025316455698,12
2011-07,Python,14245,5592,2.5473891273247498,2
2011-07,R,3424,1445,2.3695501730103805,11
2011-07,Ruby,6338,2707,2.3413372737347617,6
2011-07,Scala,3876,1601,2.420986883198001,10
2011-08,C,6287,2529,2.485962831158561,6
2011-08,C#,6739,2695,2.500556586270872,5
2011-08,C++,5858,2449,2.391996733360555,7
2011-08,Haskell,1406,524,2.683206106870229,14
2011-08,Java,17539,6725,2.608029739776952,2
2011-08,JavaScript,20870,7392,2.8233225108225106,1
2011-08,Lua,2162,926,2.3347732181425487,13
2011-08,Objective-C,5554,2328,2.3857388316151202,9
2011-08,PHP,10495,4119,2.5479485311968926,4
2011-08,Perl,4148,1633,2.5401102265768523,10
2011-08,Python,15169,5942,2.5528441602154155,3
2011-08,R,3567,1394,2.5588235294117645,12
2011-08,Ruby,6775,2407,2.8147071042791856,8
2011-08,Scala,3856,1409,2.7366926898509583,11
2011-09,C,6089,2259,2.6954404603806994,9
2011-09,C#,7030,2822,2.4911410347271437,5
2011-09,C++,6049,2582,2.3427575522850503,7
2011-09,Haskell,1395,543,2.569060773480663,14
2011-09,Java,17484,6854,2.5509191712868398,2
2011-09,JavaScript,23549,9163,2.5700098221106624,1
2011-09,Lua,2194,794,2.7632241813602016,13
2011-09,Objective-C,5845,2277,2.566974088713219,8
2011-09,PHP,10787,4403,2.449920508744038,4
2011-09,Perl,4417,1683,2.6244800950683302,10
2011-09,Python,15357,5840,2.6296232876712327,3
2011-09,R,3786,1414,2.6775106082036775,12
2011-09,Ruby,7024,2714,2.5880619012527633,6
2011-09,Scala,4189,1517,2.761371127224786,11
2011-10,C,6667,2655,2.511111111111111,8
2011-10,C#,7376,2846,2.5917076598735065,7
2011-10,C++,6670,3093,2.156482379566764,5
2011-10,Haskell,1507,666,2.2627627627627627,14
2011-10,Java,17130,6176,2.773639896373057,3
2011-10,JavaScript,24117,8934,2.6994627266621896,1
2011-10,Lua,2270,876,2.5913242009132422,13
2011-10,Objective-C,6151,2550,2.412156862745098,9
2011-10,PHP,11015,4326,2.5462320850670364,4
2011-10,Perl,4096,1505,2.721594684385382,12
2011-10,Python,17370,6820,2.5469208211143695,2
2011-10,R,4206,1920,2.190625,10
2011-10,Ruby,7887,3078,2.5623781676413255,6
2011-10,Scala,4345,1584,2.7430555555555554,11
2011-11,C,6724,3057,2.1995420346745176,6
2011-11,C#,8471,3279,2.5834095760902716,5
2011-11,C++,6838,2400,2.8491666666666666,8
2011-11,Haskell,1654,715,2.3132867132867134,14
2011-11,Java,17988,6598,2.7262806911185207,3
2011-11,JavaScript,25939,8648,2.9994218316373726,1
2011-11,Lua,2358,1043,2.2607861936720997,13
2011-11,Objective-C,6022,2233,2.696820420958352,9
2011-11,PHP,11616,4704,2.4693877551020407,4
2011-11,Perl,4469,1977,2.2604957005563984,10
2011-11,Python,18865,7177,2.6285355998327993,2
2011-11,R,4408,1751,2.51741861793261,12
