language,method,method_label,x,y,total_push_events,avg_share_pct,total_unique_actors
C,pca,PCA,1.5319595190274404,2.9327986651806324,4367226,3.9287758148380356,1743409
C#,pca,PCA,5.498110479914879,2.496332019439899,5893288,5.121370683914723,2380153
C++,pca,PCA,4.052777681043119,1.9090852331877248,5417606,4.584946117536749,2155325
Dart,pca,PCA,0.38824035658866235,-7.15540699725,5286974,3.957027329701022,2114040
Go,pca,PCA,3.5512959196628384,-4.6951093181238495,6106099,4.577036956597448,2420693
Haskell,pca,PCA,-12.814678876182409,0.9387122084720536,1307190,1.1018389386709484,525871
Java,pca,PCA,15.024873368445043,4.551513484481947,10649233,9.997440388355766,4115597
JavaScript,pca,PCA,26.409703636883627,1.7828827729704568,23397479,18.958067121515302,8400426
Julia,pca,PCA,-9.407289098686553,-6.401105181439892,2432233,1.8880278189973967,975839
Kotlin,pca,PCA,-10.3462082908859,-8.967809273483972,2803880,2.440588883777426,1134693
Lua,pca,PCA,-9.715308659785517,1.6290145834382979,1760751,1.5346384881841457,709237
Objective-C,pca,PCA,-13.11656129500346,10.04827435459825,1037881,2.39967052387679,418713
PHP,pca,PCA,1.7154557859942678,7.592509458875537,4041034,4.692085585224304,1619274
Perl,pca,PCA,-11.73449269378556,6.814081386072807,1201958,1.6098529144139295,484486
Python,pca,PCA,23.048986633849943,0.8706390451212138,19540304,15.30602863205692,7885694
R,pca,PCA,-1.7286150439099328,1.1971161838722661,3596759,2.974309430424798,1440239
Ruby,pca,PCA,-6.409591292895976,8.475496791956505,2062551,2.759964512971545,823296
Rust,pca,PCA,-6.5100000877430135,-10.051117924464956,3890454,3.1816836768270673,1861719
Scala,pca,PCA,-4.599371643075267,3.1693226300502144,2662153,2.4964651651660166,1065806
Swift,pca,PCA,-8.2727414160411,-7.707378441359159,2851196,2.3068912040399217,1136517
TypeScript,pca,PCA,13.43345501658486,-9.429851681595974,13610685,9.915381066820354,5687980
C,kpca,Kernel PCA (RBF),0.27675205433976796,-0.42915760331927055,4367226,3.9287758148380356,1743409
C#,kpca,Kernel PCA (RBF),0.5105656933756045,-0.2842993357412716,5893288,5.121370683914723,2380153
C++,kpca,Kernel PCA (RBF),0.43112407709144873,-0.3197771497573244,5417606,4.584946117536749,2155325
Dart,kpca,Kernel PCA (RBF),0.037395180003051885,0.2241813415361003,5286974,3.957027329701022,2114040
Go,kpca,Kernel PCA (RBF),0.28410817425490337,0.06095518317696774,6106099,4.577036956597448,2420693
Haskell,kpca,Kernel PCA (RBF),-0.5410862275263886,-0.06503571316689608,1307190,1.1018389386709484,525871
Java,kpca,Kernel PCA (RBF),0.6578684578192361,0.22403948084662856,10649233,9.997440388355766,4115597
JavaScript,kpca,Kernel PCA (RBF),0.5080402694461921,0.5167182373385693,23397479,18.958067121515302,8400426
Julia,kpca,Kernel PCA (RBF),-0.5209892883632868,0.3895783415281834,2432233,1.8880278189973967,975839
Kotlin,kpca,Kernel PCA (RBF),-0.47089756814094774,0.521920560266603,2803880,2.440588883777426,1134693
Lua,kpca,Kernel PCA (RBF),-0.4953052047175133,-0.20024519347333564,1760751,1.5346384881841457,709237
Objective-C,kpca,Kernel PCA (RBF),-0.30263665270250634,-0.30976088050182327,1037881,2.39967052387679,418713
PHP,kpca,Kernel PCA (RBF),0.2859412402512266,-0.49072604519737006,4041034,4.692085585224304,1619274
Perl,kpca,Kernel PCA (RBF),-0.4045624445165499,-0.3598399206564834,1201958,1.6098529144139295,484486
Python,kpca,Kernel PCA (RBF),0.5820007581052925,0.5167283203060647,19540304,15.30602863205692,7885694
R,kpca,Kernel PCA (RBF),-0.0018024147267928581,-0.35436110801220666,3596759,2.974309430424798,1440239
Ruby,kpca,Kernel PCA (RBF),-0.1860462824826121,-0.515364442821095,2062551,2.759964512971545,823296
Rust,kpca,Kernel PCA (RBF),-0.38776997939409386,0.5341629090346633,3890454,3.1816836768270673,1861719
Scala,kpca,Kernel PCA (RBF),-0.1921364363350402,-0.4362012445809793,2662153,2.4964651651660166,1065806
Swift,kpca,Kernel PCA (RBF),-0.48166183747176194,0.46104306051902805,2851196,2.3068912040399217,1136517
TypeScript,kpca,Kernel PCA (RBF),0.4110984316907687,0.3154412026752479,13610685,9.915381066820354,5687980
C,tsne,t-SNE (sklearn),-10.29615306854248,-23.6560115814209,4367226,3.9287758148380356,1743409
C#,tsne,t-SNE (sklearn),-10.693652153015137,-25.066650390625,5893288,5.121370683914723,2380153
C++,tsne,t-SNE (sklearn),-11.323854446411133,-24.197187423706055,5417606,4.584946117536749,2155325
Dart,tsne,t-SNE (sklearn),-13.315598487854004,-22.440048217773438,5286974,3.957027329701022,2114040
Go,tsne,t-SNE (sklearn),-12.991815567016602,-23.538034439086914,6106099,4.577036956597448,2420693
Haskell,tsne,t-SNE (sklearn),-9.564641952514648,-19.03929901123047,1307190,1.1018389386709484,525871
Java,tsne,t-SNE (sklearn),-11.796090126037598,-26.70148277282715,10649233,9.997440388355766,4115597
JavaScript,tsne,t-SNE (sklearn),-12.56473445892334,-28.007577896118164,23397479,18.958067121515302,8400426
Julia,tsne,t-SNE (sklearn),-11.786465644836426,-19.108964920043945,2432233,1.8880278189973967,975839
Kotlin,tsne,t-SNE (sklearn),-12.95588493347168,-18.5198974609375,2803880,2.440588883777426,1134693
Lua,tsne,t-SNE (sklearn),-9.693263053894043,-20.121055603027344,1760751,1.5346384881841457,709237
Objective-C,tsne,t-SNE (sklearn),-7.127151012420654,-20.089675903320312,1037881,2.39967052387679,418713
PHP,tsne,t-SNE (sklearn),-9.081212043762207,-24.08909034729004,4041034,4.692085585224304,1619274
Perl,tsne,t-SNE (sklearn),-8.220610618591309,-19.944011688232422,1201958,1.6098529144139295,484486
Python,tsne,t-SNE (sklearn),-13.072583198547363,-27.196609497070312,19540304,15.30602863205692,7885694
R,tsne,t-SNE (sklearn),-10.59586238861084,-22.48796272277832,3596759,2.974309430424798,1440239
Ruby,tsne,t-SNE (sklearn),-7.95623254776001,-21.528697967529297,2062551,2.759964512971545,823296
Rust,tsne,t-SNE (sklearn),-13.611140251159668,-19.647693634033203,3890454,3.1816836768270673,1861719
Scala,tsne,t-SNE (sklearn),-9.584797859191895,-21.779001235961914,2662153,2.4964651651660166,1065806
Swift,tsne,t-SNE (sklearn),-12.520956039428711,-19.901193618774414,2851196,2.3068912040399217,1136517
TypeScript,tsne,t-SNE (sklearn),-13.762642860412598,-25.299116134643555,13610685,9.915381066820354,5687980
C,umap,UMAP,2.0667479038238525,-7.049898147583008,4367226,3.9287758148380356,1743409
C#,umap,UMAP,2.5065040588378906,-6.658328056335449,5893288,5.121370683914723,2380153
C++,umap,UMAP,2.60437273979187,-7.243791580200195,5417606,4.584946117536749,2155325
Dart,umap,UMAP,3.4260356426239014,-8.03929328918457,5286974,3.957027329701022,2114040
Go,umap,UMAP,3.378978967666626,-7.480154991149902,6106099,4.577036956597448,2420693
Haskell,umap,UMAP,2.066819906234741,-9.109406471252441,1307190,1.1018389386709484,525871
Java,umap,UMAP,3.090319871902466,-6.410000801086426,10649233,9.997440388355766,4115597
JavaScript,umap,UMAP,3.583918571472168,-5.956975936889648,23397479,18.958067121515302,8400426
Julia,umap,UMAP,3.0213258266448975,-8.985234260559082,2432233,1.8880278189973967,975839
Kotlin,umap,UMAP,3.0643234252929688,-9.514265060424805,2803880,2.440588883777426,1134693
Lua,umap,UMAP,2.163524866104126,-8.480101585388184,1760751,1.5346384881841457,709237
Objective-C,umap,UMAP,1.442806363105774,-8.934880256652832,1037881,2.39967052387679,418713
PHP,umap,UMAP,1.762635588645935,-6.819759368896484,4041034,4.692085585224304,1619274
Perl,umap,UMAP,1.49773371219635,-8.348731994628906,1201958,1.6098529144139295,484486
Python,umap,UMAP,3.11254620552063,-6.000528335571289,19540304,15.30602863205692,7885694
R,umap,UMAP,1.5368269681930542,-7.383005619049072,3596759,2.974309430424798,1440239
Ruby,umap,UMAP,1.1612334251403809,-7.954956531524658,2062551,2.759964512971545,823296
Rust,umap,UMAP,3.6034467220306396,-9.135302543640137,3890454,3.1816836768270673,1861719
Scala,umap,UMAP,2.041635036468506,-7.839876651763916,2662153,2.4964651651660166,1065806
Swift,umap,UMAP,3.4617080688476562,-9.836711883544922,2851196,2.3068912040399217,1136517
TypeScript,umap,UMAP,3.634305953979492,-6.805531978607178,13610685,9.915381066820354,5687980
C,trimap,TriMAP,36.60658264160156,1.878586769104004,4367226,3.9287758148380356,1743409
C#,trimap,TriMAP,37.897300720214844,1.5119818449020386,5893288,5.121370683914723,2380153
