month,hhi,top3_share,top3_share_pct,leader
2011-01-01,0.127143,0.507443,50.74,Ruby
2011-04-01,0.1259,0.50271,50.27,Ruby
2011-07-01,0.125375,0.511497,51.15,Ruby
2011-10-01,0.123356,0.494458,49.45,JavaScript
2012-01-01,0.124623,0.493501,49.35,JavaScript
2012-04-01,0.137078,0.523681,52.37,JavaScript
2012-07-01,0.139556,0.528039,52.8,JavaScript
2012-10-01,0.137923,0.521324,52.13,JavaScript
2013-01-01,0.137402,0.530364,53.04,JavaScript
2013-04-01,0.136423,0.52748,52.75,JavaScript
2013-07-01,0.137826,0.542089,54.21,JavaScript
2013-10-01,0.138147,0.552443,55.24,JavaScript
2014-01-01,0.139446,0.559642,55.96,JavaScript
2014-04-01,0.137841,0.555771,55.58,JavaScript
2014-07-01,0.136841,0.552942,55.29,JavaScript
2014-10-01,0.13572,0.552422,55.24,JavaScript
2015-01-01,0.127897,0.53277,53.28,JavaScript
2015-04-01,0.128227,0.538543,53.85,JavaScript
2015-07-01,0.130936,0.542835,54.28,JavaScript
2015-10-01,0.129091,0.540167,54.02,JavaScript
2016-01-01,0.12394,0.521562,52.16,JavaScript
2016-04-01,0.127651,0.538299,53.83,JavaScript
2016-07-01,0.123281,0.526555,52.66,JavaScript
2016-10-01,0.123841,0.51609,51.61,JavaScript
2017-01-01,0.12698,0.53756,53.76,JavaScript
2017-04-01,0.127558,0.539079,53.91,JavaScript
2017-07-01,0.134313,0.545301,54.53,JavaScript
2017-10-01,0.140745,0.549577,54.96,JavaScript
2018-01-01,0.14479,0.53952,53.95,JavaScript
2018-04-01,0.120963,0.501612,50.16,JavaScript
2018-07-01,0.111816,0.47841,47.84,JavaScript
2018-10-01,0.113202,0.483791,48.38,JavaScript
2019-01-01,0.111959,0.473729,47.37,JavaScript
2019-04-01,0.112416,0.470802,47.08,JavaScript
2019-07-01,0.110928,0.46734,46.73,JavaScript
2019-10-01,0.107762,0.462636,46.26,JavaScript
2020-01-01,0.106563,0.458433,45.84,JavaScript
2020-04-01,0.109007,0.479408,47.94,JavaScript
2020-07-01,0.11765,0.485725,48.57,JavaScript
2020-10-01,0.121775,0.511351,51.14,JavaScript
2021-01-01,0.135404,0.555701,55.57,JavaScript
2021-04-01,0.112685,0.476049,47.6,JavaScript
2021-07-01,0.181508,0.659358,65.94,JavaScript
2021-10-01,0.273433,0.79301,79.3,JavaScript
2022-01-01,0.255076,0.771725,77.17,JavaScript
2022-04-01,0.258376,0.772879,77.29,JavaScript
2022-07-01,0.258885,0.799552,79.96,JavaScript
2022-10-01,0.232299,0.773017,77.3,JavaScript
2023-01-01,0.23542,0.745919,74.59,JavaScript
2023-04-01,0.105506,0.454488,45.45,Python
2023-07-01,0.105514,0.450693,45.07,Python
2023-10-01,0.104239,0.452264,45.23,Python
2024-01-01,0.104387,0.452384,45.24,Python
2024-04-01,0.102645,0.441043,44.1,Python
2024-07-01,0.101324,0.440627,44.06,Python
2024-10-01,0.101975,0.437396,43.74,Python
2025-01-01,0.099211,0.423984,42.4,Python
2025-04-01,0.100555,0.433531,43.35,Python
2025-07-01,0.099375,0.419248,41.92,Python
2025-10-01,0.102708,0.434746,43.47,Python
2026-01-01,0.104228,0.440879,44.09,Python
2026-04-01,0.103567,0.436484,43.65,Python
