month,language,push_events,unique_actors
2011-01,C#,5597,2360
2011-01,C++,4947,1935
2011-01,Java,16114,6034
2011-01,JavaScript,17370,6181
2011-01,PHP,10508,3992
2011-01,Python,11859,4443
2011-01,Ruby,8602,3650
2011-02,C#,6413,2473
2011-02,C++,5486,2055
2011-02,Java,16243,6555
2011-02,JavaScript,18194,6642
2011-02,PHP,11309,4763
2011-02,Python,13059,5389
2011-02,Ruby,9435,3799
2011-03,C#,6681,2724
2011-03,C++,6000,2469
2011-03,Java,18263,7668
2011-03,JavaScript,18758,6597
2011-03,PHP,12155,4943
2011-03,Python,14273,5500
2011-03,Ruby,9829,4088
2011-04,C#,7130,3018
2011-04,C++,6299,2446
2011-04,Java,19341,7959
2011-04,JavaScript,21780,7859
2011-04,PHP,12614,4844
2011-04,Python,14052,6086
2011-04,Ruby,10458,4147
2011-05,C#,8040,3235
2011-05,C++,6642,2726
2011-05,Java,20728,7677
2011-05,JavaScript,22228,7739
2011-05,PHP,12573,5595
2011-05,Python,15919,6201
2011-05,Ruby,10823,4350
2011-06,C#,8206,3199
2011-06,C++,7216,2845
2011-06,Java,20801,8885
2011-06,JavaScript,23262,8461
2011-06,PHP,14486,6344
2011-06,Python,16174,6159
2011-06,Ruby,11561,4795
2011-07,C#,9112,3859
2011-07,C++,7264,2975
2011-07,Java,21809,8709
2011-07,JavaScript,25118,8318
2011-07,PHP,14142,5449
2011-07,Python,16876,7268
2011-07,Ruby,11762,5128
2011-08,C#,9372,3523
2011-08,C++,8407,3331
2011-08,Java,21891,8488
2011-08,JavaScript,26578,9708
2011-08,PHP,14230,6069
2011-08,Python,17444,7243
2011-08,Ruby,12508,5051
2011-09,C#,9591,3749
2011-09,C++,8499,3431
2011-09,Java,23876,8714
2011-09,JavaScript,26553,9075
2011-09,PHP,14981,6237
2011-09,Python,19404,8206
2011-09,Ruby,12295,4930
2011-10,C#,9806,3879
2011-10,C++,8906,3844
2011-10,Java,23240,8210
2011-10,JavaScript,29542,9960
2011-10,PHP,16098,5858
2011-10,Python,20162,7862
2011-10,Ruby,13058,5690
2011-11,C#,9739,3907
2011-11,C++,8470,3568
2011-11,Java,25161,10975
2011-11,JavaScript,32411,11519
2011-11,PHP,16661,7035
2011-11,Python,21616,8324
2011-11,Ruby,13471,5813
2011-12,C#,10641,4233
2011-12,C++,9285,3663
2011-12,Java,25885,10620
2011-12,JavaScript,31640,11155
2011-12,PHP,18740,6737
2011-12,Python,24297,9616
2011-12,Ruby,14863,5165
2012-01,C#,12064,5291
2012-01,C++,10898,3865
2012-01,Java,28332,12126
2012-01,JavaScript,33829,12677
2012-01,PHP,17850,7642
2012-01,Python,25511,10262
2012-01,Ruby,15496,6717
2012-02,C#,11991,4730
2012-02,C++,11094,4590
2012-02,Java,28489,11128
2012-02,JavaScript,37263,14366
2012-02,PHP,19796,7464
2012-02,Python,28714,11652
2012-02,Ruby,15544,6046
2012-03,C#,12315,5501
2012-03,C++,11256,4265
2012-03,Go,1087,423
2012-03,Java,32023,11984
2012-03,JavaScript,37334,12533
2012-03,PHP,21685,8926
2012-03,Python,27611,10872
2012-03,Ruby,18137,7772
2012-04,C#,13559,5973
2012-04,C++,12078,4593
2012-04,Go,1825,744
2012-04,Java,34007,11894
2012-04,JavaScript,40706,16048
2012-04,PHP,21536,9195
2012-04,Python,29271,11482
2012-04,Ruby,16102,6464
2012-05,C#,14412,5831
2012-05,C++,12234,4572
2012-05,Go,2367,905
2012-05,Java,35161,12939
2012-05,JavaScript,40248,13650
2012-05,PHP,22281,8538
2012-05,Python,30737,13230
2012-05,Ruby,18033,6502
2012-06,C#,15700,6167
2012-06,C++,13210,5261
2012-06,Go,2762,1078
2012-06,Java,35003,15513
2012-06,JavaScript,41637,14003
2012-06,PHP,22946,10475
2012-06,Python,31279,12070
2012-06,Ruby,18098,6599
2012-07,C#,15010,5868
2012-07,C++,13287,5014
2012-07,Go,3201,1367
2012-07,Java,34242,13286
2012-07,JavaScript,43836,16414
2012-07,PHP,23743,8721
2012-07,Python,32333,13048
2012-07,Ruby,19309,7781
2012-08,C#,15050,5581
2012-08,C++,13749,6084
2012-08,Go,3878,1677
2012-08,Java,37211,14223
2012-08,JavaScript,44733,14711
2012-08,PHP,23549,9890
2012-08,Python,31444,12932
2012-08,Ruby,19520,8637
2012-09,C#,13875,5485
2012-09,C++,13218,5039
2012-09,Go,4113,1685
2012-09,Java,37642,14629
2012-09,JavaScript,47720,16572
2012-09,PHP,23937,9729
2012-09,Python,34096,14240
2012-09,Ruby,19350,7505
2012-10,C#,15031,6234
2012-10,C++,12622,5541
2012-10,Go,4663,1970
2012-10,Java,36003,13774
2012-10,JavaScript,48971,17554
2012-10,PHP,24139,9211
2012-10,Python,36768,13602
2012-10,Ruby,20445,8357
2012-10,TypeScript,1458,641
2012-11,C#,16261,6026
2012-11,C++,13850,5656
2012-11,Go,4798,2105
2012-11,Java,39676,14976
2012-11,JavaScript,52577,18356
2012-11,PHP,23874,9743
2012-11,Python,34143,13814
2012-11,Ruby,20544,7723
2012-11,TypeScript,2233,909
2012-12,C#,17575,7535
2012-12,C++,15499,6375
2012-12,Go,5616,2286
2012-12,Java,39679,16801
2012-12,JavaScript,51996,18262
2012-12,PHP,26011,9756
2012-12,Python,37676,15863
2012-12,Ruby,20234,7250
2012-12,TypeScript,3172,1518
2013-01,C#,17793,7190
2013-01,C++,15970,6701
2013-01,Go,6324,2465
2013-01,Java,42733,15902
2013-01,JavaScript,51681,17141
2013-01,PHP,25780,9916
2013-01,Python,41003,16311
2013-01,Ruby,22687,9563
2013-01,TypeScript,4108,1717
2013-02,C#,18072,6312
2013-02,C++,16823,6558
2013-02,Go,6442,2666
2013-02,Java,44525,20658
2013-02,JavaScript,57882,21500
2013-02,PHP,25641,11316
2013-02,Python,42401,18640
2013-02,Ruby,22075,8590
2013-02,TypeScript,5109,2203
2013-03,C#,19127,7590
2013-03,C++,17192,6771
2013-03,Go,7205,2634
2013-03,Java,46218,18241
2013-03,JavaScript,56463,20374
2013-03,PHP,30246,12822
2013-03,Python,42975,15854
2013-03,Ruby,23697,9689
2013-03,TypeScript,6026,2301
2013-04,C#,19776,7588
2013-04,C++,18763,7218
2013-04,Go,7436,2907
2013-04,Java,46493,17674
2013-04,JavaScript,60390,21864
2013-04,PHP,28026,11014
2013-04,Python,46344,18716
2013-04,Ruby,23478,9087
2013-04,TypeScript,7087,3151
2013-05,C#,19224,7603
2013-05,C++,16864,7387
2013-05,Go,8061,3237
2013-05,Java,48209,19267
2013-05,JavaScript,66705,22915
2013-05,PHP,29743,12576
2013-05,Python,44738,18068
2013-05,Ruby,23682,9326
2013-05,TypeScript,7243,2917
2013-06,C#,20439,8822
2013-06,C++,18470,7279
2013-06,Go,8046,2901
2013-06,Java,52710,20001
2013-06,JavaScript,64567,24610
2013-06,PHP,29553,12805
2013-06,Python,43637,18378
2013-06,Ruby,23111,10261
2013-06,TypeScript,8745,3310
2013-07,C#,19405,7653
2013-07,C++,18688,8173
