month,language,push_events,unique_actors,month_total,share,share_pct
2011-01,C,3973,1555,74993,0.052978277972610774,5.297827797261077
2011-01,C#,4496,1845,74993,0.05995226221113971,5.995226221113971
2011-01,C++,3819,1560,74993,0.050924752976944515,5.092475297694452
2011-01,Haskell,998,419,74993,0.013307908738148895,1.3307908738148895
2011-01,Java,11611,4505,74993,0.15482778392649982,15.482778392649982
2011-01,JavaScript,14706,5450,74993,0.1960983025082341,19.60983025082341
2011-01,Lua,1391,574,74993,0.018548397850466043,1.8548397850466043
2011-01,Objective-C,4068,1667,74993,0.05424506287253477,5.424506287253477
2011-01,PHP,7231,2802,74993,0.09642233275105677,9.642233275105678
2011-01,Perl,2797,1078,74993,0.03729681436934114,3.729681436934114
2011-01,Python,10036,3740,74993,0.1338258237435494,13.38258237435494
2011-01,R,2341,829,74993,0.031216246849705972,3.1216246849705973
2011-01,Ruby,4644,1812,74993,0.06192577973944235,6.192577973944235
2011-01,Scala,2882,1123,74993,0.038430253490325764,3.8430253490325765
2011-02,C,4133,1637,80137,0.051574179218089024,5.157417921808903
2011-02,C#,5254,1986,80137,0.06556272383543182,6.556272383543183
2011-02,C++,4386,1951,80137,0.05473127269550894,5.473127269550894
2011-02,Haskell,1000,380,80137,0.012478630345533275,1.2478630345533275
2011-02,Java,11492,4652,80137,0.1434044199308684,14.340441993086838
2011-02,JavaScript,15868,5751,80137,0.198010906322922,19.8010906322922
2011-02,Lua,1433,589,80137,0.017881877285149183,1.7881877285149184
2011-02,Objective-C,4293,1753,80137,0.05357076007337434,5.357076007337434
2011-02,PHP,7708,3146,80137,0.09618528270337048,9.618528270337048
2011-02,Perl,2866,1159,80137,0.035763754570298366,3.5763754570298367
2011-02,Python,11091,4071,80137,0.13840048916230954,13.840048916230954
2011-02,R,2580,985,80137,0.032194866291475846,3.2194866291475845
2011-02,Ruby,5054,1952,80137,0.06306699776632517,6.306699776632517
2011-02,Scala,2979,1142,80137,0.037173839799343626,3.7173839799343624
2011-03,C,4728,2011,85956,0.05500488622085718,5.500488622085718
2011-03,C#,5683,2529,85956,0.06611522174135605,6.6115221741356045
2011-03,C++,4858,2127,85956,0.05651728791474708,5.651728791474708
2011-03,Haskell,1143,437,85956,0.013297501047047326,1.3297501047047326
2011-03,Java,12678,4898,85956,0.14749406673181628,14.749406673181628
2011-03,JavaScript,15839,5686,85956,0.1842686956117083,18.42686956117083
