period,language,avg_share_pct,avg_push_events,avg_unique_actors
2011-Q1,C,5.3186,4278.0,1734.3333333333333
2011-Q1,C#,6.3877,5144.333333333333,2120.0
2011-Q1,C++,5.4058,4354.333333333333,1879.3333333333333
2011-Q1,Haskell,1.3028,1047.0,412.0
2011-Q1,Java,14.8575,11927.0,4685.0
2011-Q1,JavaScript,19.2793,15471.0,5629.0
2011-Q1,Lua,1.8655,1501.0,616.3333333333334
2011-Q1,Objective-C,5.3432,4290.666666666667,1697.6666666666667
2011-Q1,PHP,9.5913,7705.333333333333,3166.6666666666665
2011-Q1,Perl,3.719,2991.0,1213.0
2011-Q1,Python,13.6843,11005.0,4230.0
2011-Q1,R,3.2278,2598.0,996.3333333333334
2011-Q1,Ruby,6.2869,5055.333333333333,1966.3333333333333
2011-Q1,Scala,3.7304,2994.0,1195.0
2011-Q2,C,5.277,5104.333333333333,1997.6666666666667
2011-Q2,C#,6.2275,6031.0,2424.6666666666665
2011-Q2,C++,5.5059,5328.333333333333,2172.0
2011-Q2,Haskell,1.3277,1284.3333333333333,518.6666666666666
2011-Q2,Java,14.5152,14041.666666666666,5554.333333333333
2011-Q2,JavaScript,19.247,18626.0,6516.0
2011-Q2,Lua,1.9453,1881.0,767.3333333333334
2011-Q2,Objective-C,5.1976,5025.0,2016.0
2011-Q2,PHP,9.4528,9142.0,3600.0
2011-Q2,Perl,3.5689,3448.3333333333335,1358.3333333333333
2011-Q2,Python,14.284,13840.666666666666,5510.333333333333
2011-Q2,R,3.335,3232.0,1336.6666666666667
2011-Q2,Ruby,6.3356,6128.666666666667,2438.0
2011-Q2,Scala,3.7807,3661.0,1582.6666666666667
2011-Q3,C,5.5074,6085.333333333333,2387.6666666666665
2011-Q3,C#,6.1415,6788.666666666667,2758.6666666666665
2011-Q3,C++,5.3641,5926.666666666667,2492.0
2011-Q3,Haskell,1.24,1370.6666666666667,547.3333333333334
2011-Q3,Java,15.2342,16851.666666666668,6388.0
2011-Q3,JavaScript,19.7953,21893.666666666668,8132.0
2011-Q3,Lua,1.9728,2179.0,898.3333333333334
2011-Q3,Objective-C,5.2297,5774.666666666667,2329.3333333333335
2011-Q3,PHP,9.4537,10450.666666666666,4381.666666666667
2011-Q3,Perl,3.6508,4043.6666666666665,1526.6666666666667
2011-Q3,Python,13.4989,14923.666666666666,5791.333333333333
2011-Q3,R,3.2482,3592.3333333333335,1417.6666666666667
2011-Q3,Ruby,6.0692,6712.333333333333,2609.3333333333335
2011-Q3,Scala,3.5941,3973.6666666666665,1509.0
2011-Q4,C,5.3373,6819.0,2886.0
2011-Q4,C#,6.2987,8056.0,3244.6666666666665
2011-Q4,C++,5.2791,6737.666666666667,2812.0
2011-Q4,Haskell,1.2777,1635.0,693.6666666666666
2011-Q4,Java,14.4372,18485.333333333332,7204.0
2011-Q4,JavaScript,20.002,25574.333333333332,9055.333333333334
2011-Q4,Lua,1.9116,2448.0,975.0
2011-Q4,Objective-C,4.9189,6287.666666666667,2431.3333333333335
2011-Q4,PHP,9.1228,11668.0,4928.0
2011-Q4,Perl,3.4652,4434.333333333333,1744.6666666666667
2011-Q4,Python,14.7139,18832.333333333332,7239.0
2011-Q4,R,3.4133,4361.0,1812.3333333333333
2011-Q4,Ruby,6.2158,7942.0,3014.3333333333335
2011-Q4,Scala,3.6066,4612.666666666667,1822.0
2012-Q1,C,5.3111,8100.0,3304.6666666666665
2012-Q1,C#,6.3857,9758.333333333334,3687.0
2012-Q1,C++,5.5309,8458.333333333334,3443.0
2012-Q1,Go,0.5339,862.0,327.0
2012-Q1,Haskell,1.2843,1962.0,750.6666666666666
2012-Q1,Java,14.3733,21961.666666666668,8272.666666666666
2012-Q1,JavaScript,20.3114,31040.666666666668,10891.666666666666
2012-Q1,Lua,1.9045,2912.3333333333335,1122.3333333333333
2012-Q1,Objective-C,4.8956,7492.666666666667,2942.0
2012-Q1,PHP,8.7831,13387.333333333334,5036.666666666667
2012-Q1,Perl,3.3657,5134.0,2042.0
2012-Q1,Python,15.1069,23106.0,9399.666666666666
2012-Q1,R,3.2782,5007.666666666667,2053.6666666666665
2012-Q1,Ruby,5.7505,8769.333333333334,3289.6666666666665
2012-Q1,Scala,3.5408,5392.0,2185.3333333333335
2012-Q2,C,5.3281,9328.333333333334,3534.0
2012-Q2,C#,6.4258,11257.666666666666,4557.0
2012-Q2,C++,5.2666,9222.0,3765.3333333333335
2012-Q2,Go,1.0476,1844.6666666666667,765.3333333333334
2012-Q2,Haskell,1.2596,2206.3333333333335,900.0
2012-Q2,Java,14.795,25904.666666666668,9492.0
2012-Q2,JavaScript,20.1197,35212.0,12749.333333333334
2012-Q2,Lua,1.8783,3287.3333333333335,1291.6666666666667
2012-Q2,Objective-C,4.5778,8010.0,3282.6666666666665
2012-Q2,PHP,8.7466,15312.333333333334,6004.0
2012-Q2,Perl,3.3074,5788.0,2367.3333333333335
2012-Q2,Python,14.5855,25516.333333333332,10020.333333333334
2012-Q2,R,3.3108,5800.333333333333,2591.6666666666665
2012-Q2,Ruby,5.8407,10224.0,3987.3333333333335
2012-Q2,Scala,3.5103,6146.666666666667,2461.0
2012-Q3,C,5.2387,9917.333333333334,4063.0
2012-Q3,C#,6.4098,12135.666666666666,4787.0
2012-Q3,C++,5.4722,10362.666666666666,4233.0
2012-Q3,Go,1.7091,3239.6666666666665,1334.6666666666667
2012-Q3,Haskell,1.3012,2462.0,958.0
2012-Q3,Java,13.9497,26413.333333333332,10857.0
2012-Q3,JavaScript,20.124,38107.333333333336,13415.333333333334
2012-Q3,Lua,1.9032,3602.3333333333335,1502.3333333333333
2012-Q3,Objective-C,4.5175,8542.0,3735.6666666666665
2012-Q3,PHP,8.633,16347.333333333334,7080.0
2012-Q3,Perl,3.3296,6304.0,2666.0
2012-Q3,Python,15.0524,28511.0,11696.666666666666
2012-Q3,R,3.2972,6247.333333333333,2559.3333333333335
2012-Q3,Ruby,5.5398,10484.333333333334,4226.666666666667
2012-Q3,Scala,3.5225,6669.666666666667,2576.6666666666665
2012-Q4,C,4.9292,10268.333333333334,4086.0
2012-Q4,C#,6.5208,13577.666666666666,5359.333333333333
2012-Q4,C++,5.4915,11455.0,4455.333333333333
2012-Q4,Go,2.0735,4325.666666666667,1687.6666666666667
2012-Q4,Haskell,1.3225,2753.6666666666665,1118.0
