year,language,avg_share_pct,avg_push_events,avg_unique_actors
2011,C,5.3601,5571.666666666667,2251.4166666666665
2011,C#,6.2638,6505.0,2637.0
2011,C++,5.3887,5586.75,2338.8333333333335
2011,Haskell,1.287,1334.25,542.9166666666666
2011,Java,14.761,15326.416666666666,5957.833333333333
2011,JavaScript,19.5809,20391.25,7333.083333333333
2011,Lua,1.9238,2002.25,814.25
2011,Objective-C,5.1723,5344.5,2118.5833333333335
2011,PHP,9.4051,9741.5,4019.0833333333335
2011,Perl,3.601,3729.3333333333335,1460.6666666666667
2011,Python,14.0453,14650.416666666666,5692.666666666667
2011,R,3.3061,3445.8333333333335,1390.75
2011,Ruby,6.2269,6459.583333333333,2507.0
2011,Scala,3.6779,3810.3333333333335,1527.1666666666667
2012,C,5.2018,9403.5,3746.9166666666665
2012,C#,6.4355,11682.333333333334,4597.583333333333
2012,C++,5.4403,9874.5,3974.1666666666665
2012,Go,1.5025,2909.2,1169.0
2012,Haskell,1.2919,2346.0,931.6666666666666
2012,Java,14.2937,25896.583333333332,10078.666666666666
2012,JavaScript,20.1026,36441.166666666664,12886.75
2012,Lua,1.9033,3454.3333333333335,1396.8333333333333
2012,Objective-C,4.5721,8247.916666666666,3360.3333333333335
2012,PHP,8.6068,15565.916666666666,6208.25
2012,Perl,3.3089,5990.0,2425.5
2012,Python,14.8684,26969.833333333332,10797.666666666666
2012,R,3.3084,6009.333333333333,2518.0833333333335
2012,Ruby,5.6261,10169.666666666666,3923.0
2012,Scala,3.5238,6388.75,2513.6666666666665
2012,TypeScript,1.0569,2220.3333333333335,874.0
2013,C,4.8832,13125.75,5280.333333333333
2013,C#,6.1088,16381.833333333334,6489.916666666667
2013,C++,5.0702,13623.916666666666,5355.416666666667
2013,Dart,0.9322,2586.5833333333335,1022.75
2013,Go,2.71,7348.166666666667,2927.0833333333335
2013,Haskell,1.2439,3348.5,1327.8333333333333
2013,Java,13.1475,35251.333333333336,13831.916666666666
2013,JavaScript,20.0007,53873.666666666664,19879.083333333332
2013,Lua,1.8471,4965.583333333333,2028.8333333333333
2013,Objective-C,3.8337,10264.416666666666,4065.1666666666665
2013,PHP,7.7988,20920.25,8298.916666666666
2013,Perl,2.8797,7720.916666666667,3109.3333333333335
2013,Python,14.9641,40180.916666666664,16922.666666666668
2013,R,3.217,8642.833333333334,3404.8333333333335
2013,Ruby,5.0691,13596.916666666666,5566.666666666667
2013,Scala,3.3477,8972.75,3574.75
2013,TypeScript,2.9462,8074.333333333333,3261.25
2014,C,4.5105,16312.5,6392.5
2014,C#,5.702,20617.916666666668,8444.166666666666
2014,C++,4.9316,17823.5,7038.083333333333
2014,Dart,2.2573,8253.5,3331.5833333333335
2014,Go,4.0622,14802.416666666666,5918.333333333333
2014,Haskell,1.1757,4254.75,1729.5
2014,Java,12.0641,43563.833333333336,16904.333333333332
2014,JavaScript,19.3148,69939.5,25563.916666666668
2014,Julia,0.4154,1544.6666666666667,600.6666666666666
2014,Lua,1.6941,6122.583333333333,2514.5
2014,Objective-C,3.1993,11550.083333333334,4665.333333333333
2014,PHP,6.931,25006.25,10015.583333333334
2014,Perl,2.5137,9061.583333333334,3574.1666666666665
2014,Python,15.0188,54374.666666666664,21882.5
2014,R,3.1086,11247.75,4571.0
2014,Ruby,4.1692,15052.166666666666,5930.5
2014,Scala,3.04,11002.333333333334,4418.166666666667
2014,Swift,0.2573,999.0,418.75
2014,TypeScript,5.806,21225.416666666668,8805.083333333334
2015,C,4.1171,18891.916666666668,7487.916666666667
2015,C#,5.2222,23945.25,9785.416666666666
2015,C++,4.688,21517.916666666668,8507.75
2015,Dart,3.5136,16220.25,6618.916666666667
2015,Go,4.8323,22181.5,8919.5
2015,Haskell,1.0913,5012.083333333333,2001.5
2015,Java,10.9235,50130.666666666664,19544.5
2015,JavaScript,18.5271,85144.91666666667,30527.416666666668
2015,Julia,1.0843,5021.666666666667,2040.8333333333333
2015,Lua,1.621,7441.5,2975.9166666666665
2015,Objective-C,2.5501,11684.5,4775.166666666667
2015,PHP,5.7601,26409.916666666668,10753.833333333334
2015,Perl,2.1404,9813.75,4052.4166666666665
2015,Python,14.7006,67572.5,27931.166666666668
2015,R,2.932,13466.75,5453.666666666667
2015,Ruby,3.6035,16527.416666666668,6580.833333333333
2015,Rust,0.4617,2200.5,1031.125
2015,Scala,2.6872,12331.416666666666,4979.666666666667
2015,Swift,0.8547,3982.75,1609.5
2015,TypeScript,8.8432,40756.083333333336,17208.083333333332
2016,C,3.9501,22123.25,8852.75
2016,C#,5.0705,28388.166666666668,11575.5
2016,C++,4.4469,24896.25,9856.25
2016,Dart,4.1049,22982.083333333332,9362.25
2016,Go,4.9621,27794.833333333332,10891.666666666666
2016,Haskell,1.071,5996.666666666667,2337.5
2016,Java,10.2472,57399.583333333336,22213.666666666668
2016,JavaScript,18.2401,102237.25,36237.0
2016,Julia,1.725,9699.416666666666,3870.6666666666665
2016,Kotlin,0.5235,2994.818181818182,1235.3636363636363
2016,Lua,1.5221,8519.083333333334,3464.0833333333335
2016,Objective-C,1.9688,11011.333333333334,4361.583333333333
2016,PHP,4.9613,27784.416666666668,10877.666666666666
2016,Perl,1.7652,9882.166666666666,4003.6666666666665
2016,Python,14.3935,80587.83333333333,32563.25
2016,R,2.8632,16045.083333333334,6608.833333333333
2016,Ruby,3.0524,17087.166666666668,6797.75
2016,Rust,1.3567,7667.666666666667,3670.5
2016,Scala,2.51,14061.0,5632.083333333333
2016,Swift,1.7432,9814.166666666666,3941.5833333333335
2016,TypeScript,9.566,53604.833333333336,22262.25
2017,C,3.7766,25060.25,9566.833333333334
2017,C#,4.8599,32253.25,13039.083333333334
2017,C++,4.363,28954.333333333332,11259.333333333334
2017,Dart,4.1597,27603.333333333332,11079.0
2017,Go,4.7749,31689.416666666668,12459.5
2017,Haskell,1.049,6958.25,2739.5
2017,Java,9.5298,63274.333333333336,23973.0
2017,JavaScript,17.8237,118362.0,42856.416666666664
2017,Julia,2.026,13460.416666666666,5476.75
2017,Kotlin,1.4388,9604.333333333334,3937.25
2017,Lua,1.4458,9596.833333333334,3879.6666666666665
2017,Objective-C,1.5254,10111.0,4205.416666666667
2017,PHP,4.468,29654.083333333332,11909.333333333334
2017,Perl,1.4897,9880.416666666666,3954.25
2017,Python,14.5458,96581.0,38209.333333333336
2017,R,2.8058,18624.5,7415.333333333333
2017,Ruby,2.5716,17061.583333333332,6909.75
2017,Rust,2.4735,16486.166666666668,8128.5
2017,Scala,2.327,15449.333333333334,6229.75
2017,Swift,2.4734,16444.833333333332,6528.5
2017,TypeScript,10.0725,66859.41666666667,28065.916666666668
2018,C,3.5829,27573.166666666668,11147.75
2018,C#,4.7367,36442.75,14162.5
2018,C++,4.2711,32881.0,13176.833333333334
2018,Dart,4.2217,32520.416666666668,12856.25
2018,Go,4.8458,37319.833333333336,14471.75
2018,Haskell,1.0236,7883.916666666667,3156.6666666666665
2018,Java,8.8385,68038.83333333333,26609.75
2018,JavaScript,18.0593,139034.75,49263.333333333336
2018,Julia,2.0463,15753.666666666666,6208.666666666667
2018,Kotlin,2.3757,18348.666666666668,7628.416666666667
2018,Lua,1.4122,10872.25,4354.166666666667
2018,Objective-C,1.1053,8491.666666666666,3416.9166666666665
2018,PHP,3.9256,30216.333333333332,11972.75
2018,Perl,1.2645,9727.166666666666,3915.9166666666665
2018,Python,14.7119,113344.58333333333,44262.0
2018,R,2.8377,21859.333333333332,8640.083333333334
2018,Ruby,2.1622,16629.25,6659.166666666667
2018,Rust,3.3578,25884.666666666668,12281.583333333334
2018,Scala,2.2319,17185.25,6763.166666666667
2018,Swift,2.5732,19819.333333333332,7977.166666666667
2018,TypeScript,10.4161,80235.33333333333,32743.916666666668
