quarter,language,push_events,unique_actors
2011-01-01,C,13681.208698307177,2408
2011-01-01,C#,2894.425017033318,490
2011-01-01,C++,11777.253132374728,1671
2011-01-01,Dart,5.4259222271254837,19
2011-01-01,Go,713.80922364494688,124
2011-01-01,Haskell,2215.5956223122625,251
2011-01-01,Java,13569.932574491131,1537
2011-01-01,JavaScript,20919.385653642559,3863
2011-01-01,Julia,0.79718341182481611,16
2011-01-01,Kotlin,78.101311921773188,40
2011-01-01,Lua,480.77925155491477,266
2011-01-01,Objective-C,2372.4105976091087,840
2011-01-01,PHP,13254.409426528759,1545
2011-01-01,Perl,2107.2549101987511,1259
2011-01-01,Python,20514.568828806063,3121
2011-01-01,R,59.81261931835364,195
2011-01-01,Ruby,26157.865193663511,3251
2011-01-01,Rust,396.16435264421926,68
2011-01-01,Scala,1766.0352745723953,217
2011-01-01,Swift,26.675830314566838,27
2011-01-01,TypeScript,208.94320126236184,71
2011-04-01,C,24924.392703527,3670
2011-04-01,C#,6068.5891646396021,711
2011-04-01,C++,25548.909239595218,2636
2011-04-01,Dart,4.2389488283250536,21
2011-04-01,Go,2010.005655602846,189
2011-04-01,Haskell,3868.3482707455414,400
2011-04-01,Java,30162.819066096305,2369
2011-04-01,JavaScript,41017.234466252623,6073
2011-04-01,Julia,1.5670573896923425,16
2011-04-01,Kotlin,121.91580241760644,49
2011-04-01,Lua,1092.1989976648083,370
2011-04-01,Objective-C,4748.818686123278,1356
2011-04-01,PHP,24492.522695090367,2419
2011-04-01,Perl,4264.9918552013933,1917
2011-04-01,Python,41771.401995454522,4686
2011-04-01,R,155.44708358394337,237
2011-04-01,Ruby,51180.205595947416,4935
2011-04-01,Rust,899.067043717312,124
2011-04-01,Scala,3443.2553500586073,326
2011-04-01,Swift,70.908448466133109,54
2011-04-01,TypeScript,646.48957928549316,115
2011-07-01,C,26435.385804167436,4062
2011-07-01,C#,7715.4888869347878,832
2011-07-01,C++,26261.993229612042,2972
2011-07-01,Dart,18.600977436070259,13
2011-07-01,Go,2103.7209151918851,197
2011-07-01,Haskell,4924.1356151762675,418
2011-07-01,Java,32023.144131966292,2699
2011-07-01,JavaScript,49108.0549797788,7041
2011-07-01,Julia,1.3107179646044191,11
2011-07-01,Kotlin,263.18250657011623,45
2011-07-01,Lua,1412.59468470219,387
2011-07-01,Objective-C,5901.0464548132368,1537
2011-07-01,PHP,30004.998425298356,2768
2011-07-01,Perl,4608.8029582240724,2128
2011-07-01,Python,50535.536919429142,5466
2011-07-01,R,292.29819636162438,235
2011-07-01,Ruby,55195.137063520575,5409
2011-07-01,Rust,1200.1529290681358,193
2011-07-01,Scala,3776.8861401498307,350
2011-07-01,Swift,91.447285293143366,53
2011-07-01,TypeScript,843.084111867993,139
2011-10-01,C,29862.88980898189,4636
2011-10-01,C#,7967.6665441623636,945
2011-10-01,C++,29515.790753826568,3400
2011-10-01,Dart,20.413887732394478,22
2011-10-01,Go,2624.5985701058148,250
2011-10-01,Haskell,5265.0741689668312,464
2011-10-01,Java,34951.739342321118,3168
2011-10-01,JavaScript,56344.283233698778,8198
2011-10-01,Julia,0.80743783094418287,19
2011-10-01,Kotlin,291.63627689407349,57
2011-10-01,Lua,1518.7753029264118,453
2011-10-01,Objective-C,6082.5334861988831,1854
2011-10-01,PHP,36333.678422253695,3268
2011-10-01,Perl,5105.50379451752,2527
2011-10-01,Python,52125.61067112739,6253
2011-10-01,R,260.24149506412863,284
2011-10-01,Ruby,53569.957953036224,5733
2011-10-01,Rust,913.19658445179425,196
2011-10-01,Scala,4051.7771404298655,401
2011-10-01,Swift,83.903349535098471,63
2011-10-01,TypeScript,821.89550153956793,200
2012-01-01,C,27778.530140584233,4733
2012-01-01,C#,7082.0165371732692,987
2012-01-01,C++,27981.150964011173,3607
2012-01-01,Dart,46.148718075493463,18
2012-01-01,Go,2587.4580937931055,299
2012-01-01,Haskell,5249.903873984761,488
2012-01-01,Java,38981.364605106079,3544
2012-01-01,JavaScript,55081.524585147272,8992
2012-01-01,Julia,2.46253591412609,18
2012-01-01,Kotlin,275.59792300046206,69
2012-01-01,Lua,1716.3247097882702,491
2012-01-01,Objective-C,6933.5595144222125,1924
2012-01-01,PHP,34786.057666123263,3503
2012-01-01,Perl,3781.9171232246281,2551
2012-01-01,Python,52218.882911175453,6600
2012-01-01,R,223.00704086530504,284
2012-01-01,Ruby,49992.546974539022,6068
2012-01-01,Rust,368.66928747933048,119
2012-01-01,Scala,4285.1701472289178,444
2012-01-01,Swift,110.39709176809821,79
2012-01-01,TypeScript,1178.0027356632902,200
2015-01-01,C,210802.44985798921,31759
2015-01-01,C#,147622.22184952215,13384
2015-01-01,C++,269114.33361713833,29990
2015-01-01,Dart,7814.5054413986391,556
2015-01-01,Go,124501.77245311212,7238
2015-01-01,Haskell,33429.0914570451,2803
2015-01-01,Java,514562.8561198432,36703
2015-01-01,JavaScript,869478.31012011389,96554
2015-01-01,Julia,7275.311210912716,486
2015-01-01,Kotlin,7224.4245916356394,961
2015-01-01,Lua,26488.229358707329,4193
2015-01-01,Objective-C,58806.425073441933,14062
2015-01-01,PHP,373775.04656961811,32170
2015-01-01,Perl,29889.184413351337,12848
2015-01-01,Python,567957.52801169583,55427
2015-01-01,R,17818.109241856171,3933
2015-01-01,Ruby,261162.37146718893,36540
2015-01-01,Rust,33811.752598234933,1465
2015-01-01,Scala,44461.681050733612,4310
2015-01-01,Swift,26153.129661903062,2922
2015-01-01,TypeScript,31718.179010016971,3438
2015-04-01,C,236441.81509090101,36206
2015-04-01,C#,166947.26076905188,15334
2015-04-01,C++,302464.51798136608,34437
2015-04-01,Dart,8823.1159810609151,675
2015-04-01,Go,153656.60684402956,8598
2015-04-01,Haskell,35448.828891482015,3066
2015-04-01,Java,595188.759718678,42709
2015-04-01,JavaScript,996608.12628592807,111604
2015-04-01,Julia,8199.05955942366,617
2015-04-01,Kotlin,8674.869329184774,1166
2015-04-01,Lua,27955.185761117918,4823
2015-04-01,Objective-C,70358.542490109612,16618
2015-04-01,PHP,400331.08690457878,36179
2015-04-01,Perl,30557.608806897086,13907
2015-04-01,Python,646879.29783477122,64107
2015-04-01,R,22610.204877164288,4475
2015-04-01,Ruby,272758.36292745371,40895
2015-04-01,Rust,38938.008825178782,1909
2015-04-01,Scala,52975.8832176493,4710
2015-04-01,Swift,36923.978265845442,3903
2015-04-01,TypeScript,44169.543474773956,4494
2015-07-01,C,244359.67603122711,41731
2015-07-01,C#,187689.03205266394,17653
2015-07-01,C++,324179.37423491559,39534
2015-07-01,Dart,8782.5252982796719,726
2015-07-01,Go,185475.63573091174,11131
2015-07-01,Haskell,37459.67076349142,3306
2015-07-01,Java,610607.9510956743,46828
2015-07-01,JavaScript,1162571.0566076036,130390
2015-07-01,Julia,13413.271131665997,787
2015-07-01,Kotlin,10572.097229484883,1394
2015-07-01,Lua,29815.906656324554,5733
2015-07-01,Objective-C,81105.821963271839,20955
2015-07-01,PHP,425956.01982701669,41044
2015-07-01,Perl,31189.873772042843,15766
2015-07-01,Python,726935.54328196973,74368
2015-07-01,R,25090.483970963978,5089
2015-07-01,Ruby,295153.23051816842,49336
2015-07-01,Rust,39610.158265140359,2259
2015-07-01,Scala,57510.460596372461,5310
2015-07-01,Swift,51498.82572016403,5418
2015-07-01,TypeScript,56682.979648961416,5880
2015-10-01,C,254966.38544626813,40835
2015-10-01,C#,249834.01182255257,18101
2015-10-01,C++,354301.23554922483,39272
2015-10-01,Dart,8720.14600017341,728
2015-10-01,Go,182013.34580368936,10801
2015-10-01,Haskell,36770.313287069788,3278
2015-10-01,Java,666847.43435089721,48418
2015-10-01,JavaScript,1213609.6901443063,130375
2015-10-01,Julia,13184.561937727518,871
2015-10-01,Kotlin,16188.634955460693,1760
2015-10-01,Lua,32588.431492798263,5804
2015-10-01,Objective-C,81250.320625855122,20382
2015-10-01,PHP,447589.84520641837,41269
2015-10-01,Perl,31839.777237756633,14781
2015-10-01,Python,764460.8690271118,73927
2015-10-01,R,25478.241844794196,5253
2015-10-01,Ruby,285392.88860149123,45361
2015-10-01,Rust,38176.540934940451,2285
2015-10-01,Scala,56995.896423573635,5171
2015-10-01,Swift,63397.804489377515,6151
2015-10-01,TypeScript,72873.938727302477,6539
2016-01-01,C,291964.708099184,38014
2016-01-01,C#,397854.47523752478,17140
2016-01-01,C++,385700.47549114883,36535
2016-01-01,Dart,7587.2624183663856,596
2016-01-01,Go,222487.70991258975,10719
2016-01-01,Haskell,34773.409618275749,3090
2016-01-01,Java,714775.229718343,46294
2016-01-01,JavaScript,1340327.2072478484,126113
2016-01-01,Julia,11978.219617402112,783
2016-01-01,Kotlin,22276.099238410548,2043
2016-01-01,Lua,56673.05045379074,5940
2016-01-01,Objective-C,77719.71703818372,18304
2016-01-01,PHP,459880.92250603123,38147
2016-01-01,Perl,33973.473206651652,13673
2016-01-01,Python,812535.28946919832,71331
2016-01-01,R,29350.540914782643,5225
2016-01-01,Ruby,297797.7904700613,43297
2016-01-01,Rust,48364.491098863888,2446
2016-01-01,Scala,70417.119879802674,4929
2016-01-01,Swift,82030.581768079588,6139
2016-01-01,TypeScript,99709.007846875858,7846
2016-04-01,C,267644.04157693317,38095
2016-04-01,C#,324082.179651275,17412
2016-04-01,C++,394325.22999002982,36539
2016-04-01,Dart,6570.243457038453,588
2016-04-01,Go,217983.17747412383,10985
2016-04-01,Haskell,35649.091755564943,3028
2016-04-01,Java,737187.4875277268,46856
2016-04-01,JavaScript,1358719.6608264952,129129
2016-04-01,Julia,13237.113268599203,833
2016-04-01,Kotlin,25979.608017015067,2362
2016-04-01,Lua,46565.824715251343,5954
2016-04-01,Objective-C,76358.889297448928,18541
2016-04-01,PHP,469182.04274193419,38496
2016-04-01,Perl,31336.343052003042,13301
2016-04-01,Python,849551.69283751887,73432
2016-04-01,R,31231.353570793224,5317
2016-04-01,Ruby,262242.51431003137,42773
2016-04-01,Rust,45674.640114934213,2545
2016-04-01,Scala,66444.4740864809,4966
2016-04-01,Swift,83565.43859020427,6551
2016-04-01,TypeScript,128262.80833274349,9671
2016-07-01,C,253143.98272772066,35016
2016-07-01,C#,297305.79313236737,16022
2016-07-01,C++,460027.8928194851,33065
2016-07-01,Dart,6598.2564765928955,551
2016-07-01,Go,208051.94664942918,10721
2016-07-01,Haskell,29201.6185322929,2641
2016-07-01,Java,696963.6849715733,41458
2016-07-01,JavaScript,1203974.2026867934,119722
2016-07-01,Julia,12139.485065427507,751
2016-07-01,Kotlin,25353.945554594629,2372
2016-07-01,Lua,44132.869772702463,5818
2016-07-01,Objective-C,64401.692325514021,17130
2016-07-01,PHP,402179.05693718669,34441
2016-07-01,Perl,27896.050469774578,12262
2016-07-01,Python,799770.04352584074,69315
2016-07-01,R,28519.938083048983,5041
2016-07-01,Ruby,237720.78364441395,40255
2016-07-01,Rust,40152.205613193808,2429
2016-07-01,Scala,63049.747012986605,4612
2016-07-01,Swift,86897.905119279254,6412
2016-07-01,TypeScript,141534.38733610252,10591
2016-10-01,C,284769.22065515874,36736
2016-10-01,C#,338958.30475504097,17504
2016-10-01,C++,599948.156692659,35559
2016-10-01,Dart,7566.82659650561,588
2016-10-01,Go,226255.37241650865,11685
2016-10-01,Haskell,29687.444257852436,2835
2016-10-01,Java,722192.81230645441,45510
2016-10-01,JavaScript,1342455.4512872393,129382
2016-10-01,Julia,7918.704434655202,758
2016-10-01,Kotlin,28604.668328969205,2768
2016-10-01,Lua,41495.708782646056,5838
2016-10-01,Objective-C,64022.852118743038,17540
2016-10-01,PHP,426989.38330130442,36447
2016-10-01,Perl,29078.9762041778,12271
2016-10-01,Python,846709.64178063918,74221
2016-10-01,R,28796.962913663603,5395
2016-10-01,Ruby,239305.04713470154,40878
2016-10-01,Rust,43495.580675439043,2715
2016-10-01,Scala,69589.927733163684,4760
2016-10-01,Swift,93617.224691134572,7073
2016-10-01,TypeScript,169726.03828509126,12882
2017-01-01,C,273077.76541156351,38667
2017-01-01,C#,381447.64796957414,19706
2017-01-01,C++,451093.40964984189,37903
2017-01-01,Dart,9477.5602189214915,584
2017-01-01,Go,258918.36599263226,13325
2017-01-01,Haskell,34020.978552215354,2934
2017-01-01,Java,782137.9048645033,49750
2017-01-01,JavaScript,1499839.9470059401,142999
2017-01-01,Julia,7129.8074822092394,743
2017-01-01,Kotlin,39116.249288648847,3245
2017-01-01,Lua,50144.559401352446,6285
2017-01-01,Objective-C,62044.006782747543,18089
2017-01-01,PHP,472763.27549263922,39616
2017-01-01,Perl,32744.60537657874,12496
2017-01-01,Python,983675.49337697518,81865
2017-01-01,R,37012.912502229483,6009
2017-01-01,Ruby,262150.2076416043,43161
2017-01-01,Rust,51852.174640979574,3133
2017-01-01,Scala,76758.878682621289,5166
2017-01-01,Swift,98357.458279725484,7564
2017-01-01,TypeScript,211191.114373627,15510
2017-04-01,C,257768.56470665813,39063
2017-04-01,C#,494127.27996355027,20006
2017-04-01,C++,440852.57643987605,38755
2017-04-01,Dart,11636.808842582068,592
2017-04-01,Go,268270.40776842547,13654
2017-04-01,Haskell,31107.539380580496,2828
2017-04-01,Java,807229.98709922528,51218
2017-04-01,JavaScript,1545773.9649333931,143304
2017-04-01,Julia,7585.1461589777255,737
2017-04-01,Kotlin,49637.692565122037,3856
2017-04-01,Lua,45084.87274721366,6219
2017-04-01,Objective-C,62049.7809851796,17950
2017-04-01,PHP,440306.20550280419,38826
2017-04-01,Perl,32727.427274880527,12132
2017-04-01,Python,1021183.7275324232,84331
2017-04-01,R,42544.534348857807,6251
2017-04-01,Ruby,241946.3700745558,42039
2017-04-01,Rust,55047.677188066744,3194
2017-04-01,Scala,77852.06735260041,5163
2017-04-01,Swift,94552.582959433654,7445
2017-04-01,TypeScript,231891.50772198947,16781
2017-07-01,C,232441.44738539262,36044
2017-07-01,C#,493364.1292411146,18550
2017-07-01,C++,398777.54178700625,35343
2017-07-01,Dart,9284.6735158607025,593
2017-07-01,Go,261972.98685640428,13375
2017-07-01,Haskell,26972.491190146946,2472
2017-07-01,Java,702534.18402590055,45893
2017-07-01,JavaScript,1605210.0224781192,134267
2017-07-01,Julia,5642.0110774082832,710
2017-07-01,Kotlin,53252.359888581545,4198
2017-07-01,Lua,38140.532310597235,5880
2017-07-01,Objective-C,51578.860189530271,15995
2017-07-01,PHP,404476.40089522966,35333
2017-07-01,Perl,33147.648221403979,11358
2017-07-01,Python,951772.67769626691,79750
2017-07-01,R,35540.727486282507,5790
2017-07-01,Ruby,218716.70306588264,39598
2017-07-01,Rust,50195.515011050134,3129
2017-07-01,Scala,69254.901318532342,4885
2017-07-01,Swift,87828.170224306057,7279
2017-07-01,TypeScript,247362.90237105411,16847
2017-10-01,C,199282.46915333209,31395
2017-10-01,C#,404439.93020971434,15217
2017-10-01,C++,354137.967644095,30536
2017-10-01,Dart,7772.8751381963211,505
2017-10-01,Go,204295.38950787036,11608
2017-10-01,Haskell,18303.236455033722,2103
2017-10-01,Java,583429.96663591929,37798
2017-10-01,JavaScript,1470929.4814044836,109632
2017-10-01,Julia,5083.1050588345906,643
2017-10-01,Kotlin,46728.9095312242,3937
2017-10-01,Lua,26031.641551955403,5207
2017-10-01,Objective-C,35559.259751492951,12949
2017-10-01,PHP,397426.30082609615,28665
2017-10-01,Perl,27628.030264501831,10192
2017-10-01,Python,775342.59875310108,68069
2017-10-01,R,26024.257271802642,4870
2017-10-01,Ruby,177420.30391054659,33657
2017-10-01,Rust,40271.955226414742,2836
2017-10-01,Scala,55192.182200524177,4269
2017-10-01,Swift,67744.278142045092,6109
2017-10-01,TypeScript,225832.72777729252,14599
2018-01-01,C,154708.7783512164,25388
2018-01-01,C#,344048.4778265637,10950
2018-01-01,C++,269714.91878195282,24188
2018-01-01,Dart,7488.5511697567526,456
2018-01-01,Go,161013.8877180079,9431
2018-01-01,Haskell,15146.838171597232,1759
2018-01-01,Java,406495.51715478464,27134
2018-01-01,JavaScript,1218897.9578889653,81243
2018-01-01,Julia,3570.314161225981,521
2018-01-01,Kotlin,34331.553548601943,3261
2018-01-01,Lua,18804.807891414894,4373
2018-01-01,Objective-C,21673.350674691781,9658
2018-01-01,PHP,353060.29133785563,21095
2018-01-01,Perl,29361.81730841082,8950
2018-01-01,Python,577735.26747962425,53482
2018-01-01,R,18607.949755638565,4041
2018-01-01,Ruby,148980.78631679449,27642
2018-01-01,Rust,28485.903014336091,2310
2018-01-01,Scala,45690.531495477691,3521
2018-01-01,Swift,42344.219860067744,4353
2018-01-01,TypeScript,183333.17643882922,11638
2018-04-01,C,121890.13700785597,22183
2018-04-01,C#,225696.77511583184,9109
2018-04-01,C++,220943.6757310665,20967
2018-04-01,Dart,7104.8464434515454,458
2018-04-01,Go,131819.97110426571,8202
2018-04-01,Haskell,11156.589983330659,1484
2018-04-01,Java,318592.62693125429,23057
2018-04-01,JavaScript,680462.96807271056,67571
2018-04-01,Julia,2820.12828687901,460
2018-04-01,Kotlin,27834.598596980097,2944
2018-04-01,Lua,13911.740736213176,3934
2018-04-01,Objective-C,17618.62239054267,8026
2018-04-01,PHP,268015.25133605464,17067
2018-04-01,Perl,23338.960835516737,8078
2018-04-01,Python,457539.05000647577,46582
2018-04-01,R,12244.497243398377,3534
2018-04-01,Ruby,118086.01247178542,23938
2018-04-01,Rust,23067.952382966989,2065
2018-04-01,Scala,34013.760512069741,3105
2018-04-01,Swift,35131.5155794577,3775
2018-04-01,TypeScript,152537.21362513051,10424
2018-07-01,C,107264.34574798615,19995
2018-07-01,C#,193461.601941806,8015
2018-07-01,C++,197514.83817778903,18616
2018-07-01,Dart,6088.9852473076771,489
2018-07-01,Go,118488.05188116907,7622
2018-07-01,Haskell,10247.193516939386,1290
2018-07-01,Java,288541.07104452787,20381
