quarter,language,push_events,unique_actors
2012-01-01,C,29527.259672385258,4733
2012-01-01,C#,7897.2682816114338,987
2012-01-01,C++,31228.609232848772,3607
2012-01-01,Dart,46.890334448219072,18
2012-01-01,Go,2690.8540843249857,299
2012-01-01,Haskell,5665.3087126248083,488
2012-01-01,Java,44908.040173167887,3544
2012-01-01,JavaScript,61325.682373900643,8992
2012-01-01,Julia,2.5912476420998969,18
2012-01-01,Kotlin,302.06346266548013,69
2012-01-01,Lua,1868.0947416433617,491
2012-01-01,Objective-C,7547.7731503511131,1924
2012-01-01,PHP,39225.3804251284,3503
2012-01-01,Perl,4192.5785953346685,2551
2012-01-01,Python,59875.320535509636,6600
2012-01-01,R,232.86494178861156,284
2012-01-01,Ruby,56333.3237994776,6068
2012-01-01,Rust,369.59200162951623,119
2012-01-01,Scala,4939.17668894806,444
2012-01-01,Swift,132.53236443617658,79
2012-01-01,TypeScript,1433.4345353302281,200
2012-04-01,C,9970.02421822015,0
2012-04-01,C#,3154.901198035217,0
2012-04-01,C++,14520.321936213195,0
2012-04-01,Dart,29.58790849380545,0
2012-04-01,Go,421.70944002763235,0
2012-04-01,Haskell,1243.7231900299023,0
2012-04-01,Java,24847.375116796131,0
2012-04-01,JavaScript,33883.930498064743,0
2012-04-01,Julia,0.62970762556909832,0
2012-04-01,Kotlin,95.0464185039393,0
2012-04-01,Lua,617.79410579017087,0
2012-04-01,Objective-C,2449.191366298805,0
2012-04-01,PHP,22239.104085446186,0
2012-04-01,Perl,1994.5193202583791,0
2012-04-01,Python,31458.738116771648,0
2012-04-01,R,48.480071621682988,0
2012-04-01,Ruby,28534.740155880714,0
2012-04-01,Rust,21.517776036465595,0
2012-04-01,Scala,2845.1432154519534,0
2012-04-01,Swift,19.918583028327348,0
2012-04-01,TypeScript,868.26257790477678,0
2012-07-01,C,10685.487415803405,0
2012-07-01,C#,3849.263160090266,0
2012-07-01,C++,16598.538800378417,0
2012-07-01,Dart,18.859539077224369,0
2012-07-01,Go,916.93697821772685,0
2012-07-01,Haskell,1280.9264339890942,0
2012-07-01,Java,29262.276551358562,0
2012-07-01,JavaScript,41229.488320549019,0
2012-07-01,Julia,0.4949199420856813,0
2012-07-01,Kotlin,224.76952773384846,0
2012-07-01,Lua,1008.1466788548184,0
2012-07-01,Objective-C,2629.8708851981805,0
2012-07-01,PHP,26846.895554180013,0
2012-07-01,Perl,2071.0944355837341,0
2012-07-01,Python,39077.65567626791,0
2012-07-01,R,59.51852791343876,0
2012-07-01,Ruby,30854.708596379616,0
2012-07-01,Rust,90.576922604072109,0
2012-07-01,Scala,2998.079251010482,0
2012-07-01,Swift,53.85002305736144,0
2012-07-01,TypeScript,760.64661593467588,0
2012-10-01,C,14493.837041296685,0
2012-10-01,C#,3566.0897963601751,0
2012-10-01,C++,16236.247396624236,0
2012-10-01,Dart,98.386120800122654,0
2012-10-01,Go,1583.5070971451332,0
2012-10-01,Haskell,1383.8542370646612,0
2012-10-01,Java,37389.517086970722,0
2012-10-01,JavaScript,44575.676455410678,0
2012-10-01,Julia,17.289697426202913,0
2012-10-01,Kotlin,404.42857180381492,0
2012-10-01,Lua,686.93361401793618,0
2012-10-01,Objective-C,3369.7478615647155,0
2012-10-01,PHP,30506.461395305039,0
2012-10-01,Perl,2526.5491183528097,0
2012-10-01,Python,42497.309518760194,0
2012-10-01,R,64.431592154432892,0
2012-10-01,Ruby,34925.261878591205,0
2012-10-01,Rust,40.327041027202526,0
2012-10-01,Scala,3105.0509878674552,0
2012-10-01,Swift,264.90620612031267,0
2012-10-01,TypeScript,1007.2777227172207,0
2013-01-01,C,18363.264028539903,0
2013-01-01,C#,6623.2378821286084,0
2013-01-01,C++,22424.564924523591,0
2013-01-01,Dart,1384.3873682465883,0
2013-01-01,Go,2123.312946966309,0
2013-01-01,Haskell,2156.4748641650308,0
2013-01-01,Java,57596.335357958269,0
2013-01-01,JavaScript,61437.539704457333,0
2013-01-01,Julia,65.010520768503511,0
2013-01-01,Kotlin,391.07918079630741,0
2013-01-01,Lua,803.59147170066581,0
2013-01-01,Objective-C,4355.4231954394218,0
2013-01-01,PHP,41958.588569932879,0
2013-01-01,Perl,3506.9299201754548,0
2013-01-01,Python,57053.331072579836,0
2013-01-01,R,152.40109174588676,0
2013-01-01,Ruby,45743.606092174,0
2013-01-01,Rust,49.194531749818417,0
2013-01-01,Scala,4060.4814852650475,0
2013-01-01,Swift,194.37250836700656,0
2013-01-01,TypeScript,1568.7567499651771,0
2013-04-01,C,21081.368273671036,0
2013-04-01,C#,7745.9156596485109,0
2013-04-01,C++,26516.99955388044,0
2013-04-01,Dart,504.43801622427657,0
2013-04-01,Go,3180.7863463250937,0
2013-04-01,Haskell,1750.415368760513,0
2013-04-01,Java,59314.624243196435,0
2013-04-01,JavaScript,71663.0921994257,0
2013-04-01,Julia,51.546060240587266,0
2013-04-01,Kotlin,662.16624426391127,0
2013-04-01,Lua,1071.2511584682907,0
2013-04-01,Objective-C,4772.3075324968349,0
2013-04-01,PHP,47886.379337837912,0
2013-04-01,Perl,4687.4333499278737,0
2013-04-01,Python,65870.401232219883,0
2013-04-01,R,444.26049846957807,0
2013-04-01,Ruby,49193.536715719609,0
2013-04-01,Rust,52.56765698689577,0
2013-04-01,Scala,4767.1000256871221,0
2013-04-01,Swift,165.49343301672405,0
2013-04-01,TypeScript,1804.2027760146664,0
2013-07-01,C,26077.917003853763,0
2013-07-01,C#,9682.74088793713,0
2013-07-01,C++,30802.163811685834,0
2013-07-01,Dart,347.17892182567664,0
2013-07-01,Go,4562.6678314729943,0
2013-07-01,Haskell,2004.9233341308354,0
2013-07-01,Java,74409.369890459639,0
2013-07-01,JavaScript,95797.870811029439,0
2013-07-01,Julia,296.8057233911145,0
2013-07-01,Kotlin,1158.1881892828924,0
2013-07-01,Lua,1217.0305286201803,0
2013-07-01,Objective-C,7368.697612659571,0
2013-07-01,PHP,56219.859756818216,0
2013-07-01,Perl,5719.7569290547635,0
2013-07-01,Python,81515.787998441112,0
2013-07-01,R,632.25296235766041,0
2013-07-01,Ruby,57649.160087449527,0
2013-07-01,Rust,101.22024966536135,0
2013-07-01,Scala,5352.1791235748206,0
2013-07-01,Swift,363.09314155990347,0
2013-07-01,TypeScript,3078.7724762421262,0
2013-10-01,C,30555.228662304064,0
2013-10-01,C#,12140.313155650052,0
2013-10-01,C++,38061.487053423392,0
2013-10-01,Dart,927.56915109159172,0
2013-10-01,Go,7279.6547104182964,0
2013-10-01,Haskell,2259.1223637366488,0
2013-10-01,Java,92410.6623625911,0
