quarter,language,push_events,unique_actors
2011-01-01,C,14465,1098
2011-01-01,C#,2986,272
2011-01-01,C++,13024,795
2011-01-01,Go,789,56
2011-01-01,Haskell,2272,166
2011-01-01,Java,14066,1025
2011-01-01,JavaScript,19682,1536
2011-01-01,Kotlin,4,2
2011-01-01,Lua,358,43
2011-01-01,Objective-C,2562,220
2011-01-01,PHP,14455,999
2011-01-01,Perl,1703,150
2011-01-01,Python,21262,1692
2011-01-01,R,54,8
2011-01-01,Ruby,27681,2326
2011-01-01,Rust,433,7
2011-01-01,Scala,1900,129
2011-01-01,Swift,17,3
2011-01-01,TypeScript,177,10
2011-04-01,C,25341,1560
2011-04-01,C#,6061,409
2011-04-01,C++,28630,1306
2011-04-01,Go,2095,93
2011-04-01,Haskell,3801,265
2011-04-01,Java,31264,1643
2011-04-01,JavaScript,38173,2506
2011-04-01,Kotlin,12,3
2011-04-01,Lua,831,61
2011-04-01,Objective-C,5053,396
2011-04-01,PHP,26948,1570
2011-04-01,Perl,3691,250
2011-04-01,Python,43454,2568
2011-04-01,R,161,10
2011-04-01,Ruby,54517,3559
2011-04-01,Rust,962,13
2011-04-01,Scala,3536,190
2011-04-01,Swift,24,4
2011-04-01,TypeScript,752,32
2011-07-01,C,27380,1771
2011-07-01,C#,7665,501
2011-07-01,C++,28892,1405
2011-07-01,Go,2281,108
2011-07-01,Haskell,4886,302
2011-07-01,Java,32942,1950
2011-07-01,JavaScript,45174,2821
2011-07-01,Kotlin,245,7
2011-07-01,Lua,1226,70
2011-07-01,Objective-C,6269,433
2011-07-01,PHP,33748,1899
2011-07-01,Perl,4001,271
2011-07-01,Python,53690,3043
2011-07-01,R,189,14
2011-07-01,Ruby,58961,3832
2011-07-01,Rust,1290,20
2011-07-01,Scala,3857,209
2011-07-01,Swift,41,3
2011-07-01,TypeScript,831,39
2011-10-01,C,30743,2039
2011-10-01,C#,8238,574
2011-10-01,C++,32604,1609
2011-10-01,Dart,10,3
2011-10-01,Go,2745,123
2011-10-01,Haskell,5257,321
2011-10-01,Java,36319,2224
2011-10-01,JavaScript,50903,3277
2011-10-01,Kotlin,236,9
2011-10-01,Lua,1434,104
2011-10-01,Objective-C,6421,526
2011-10-01,PHP,40907,2199
2011-10-01,Perl,4361,327
2011-10-01,Python,55388,3351
2011-10-01,R,238,14
2011-10-01,Ruby,57549,3877
2011-10-01,Rust,977,17
2011-10-01,Scala,4071,227
2011-10-01,Swift,43,8
2011-10-01,TypeScript,780,47
2012-01-01,C,29496,2096
2012-01-01,C#,7314,624
2012-01-01,C++,30867,1673
2012-01-01,Dart,34,3
2012-01-01,Go,2619,164
2012-01-01,Haskell,5238,362
2012-01-01,Java,40810,2539
2012-01-01,JavaScript,52208,3669
2012-01-01,Kotlin,207,11
2012-01-01,Lua,1557,104
2012-01-01,Objective-C,7373,595
2012-01-01,PHP,39259,2358
2012-01-01,Perl,3201,297
2012-01-01,Python,55039,3478
2012-01-01,R,233,12
2012-01-01,Ruby,53088,3982
2012-01-01,Rust,353,22
2012-01-01,Scala,4370,256
2012-01-01,Swift,49,9
2012-01-01,TypeScript,1279,48
2015-01-01,C,216828,12497
2015-01-01,C#,155488,9597
2015-01-01,C++,296438,15202
2015-01-01,Dart,8339,317
2015-01-01,Go,131637,5543
2015-01-01,Haskell,34924,1886
2015-01-01,Java,540742,28054
2015-01-01,JavaScript,898754,47582
2015-01-01,Julia,7135,279
2015-01-01,Kotlin,6658,285
2015-01-01,Lua,26057,1400
2015-01-01,Objective-C,60416,5248
2015-01-01,PHP,422301,21280
2015-01-01,Perl,28790,1853
2015-01-01,Python,605608,31493
2015-01-01,R,17617,1285
2015-01-01,Ruby,288827,16699
2015-01-01,Rust,34380,887
2015-01-01,Scala,47842,2276
2015-01-01,Swift,26617,1857
2015-01-01,TypeScript,31312,1190
2015-04-01,C,242735,14083
2015-04-01,C#,177105,10925
2015-04-01,C++,335155,17110
2015-04-01,Dart,9602,359
2015-04-01,Go,164230,6511
2015-04-01,Haskell,37186,2001
2015-04-01,Java,626970,32325
2015-04-01,JavaScript,1045094,54986
2015-04-01,Julia,8084,348
2015-04-01,Kotlin,8262,353
2015-04-01,Lua,26784,1523
2015-04-01,Objective-C,71089,5994
2015-04-01,PHP,453849,23196
2015-04-01,Perl,29737,2015
2015-04-01,Python,684314,35736
2015-04-01,R,22026,1579
2015-04-01,Ruby,303160,17922
2015-04-01,Rust,39721,1233
2015-04-01,Scala,57193,2636
2015-04-01,Swift,38002,2523
2015-04-01,TypeScript,44534,1654
2015-07-01,C,251694,15958
2015-07-01,C#,197717,12414
2015-07-01,C++,359852,19016
2015-07-01,Dart,9517,332
2015-07-01,Go,197505,8668
2015-07-01,Haskell,39327,2183
2015-07-01,Java,641589,35024
2015-07-01,JavaScript,1243772,65968
2015-07-01,Julia,13438,471
2015-07-01,Kotlin,10332,452
2015-07-01,Lua,29102,1781
2015-07-01,Objective-C,82158,7845
2015-07-01,PHP,480160,26257
2015-07-01,Perl,29602,2259
2015-07-01,Python,772869,41164
2015-07-01,R,24853,1751
2015-07-01,Ruby,324432,20867
2015-07-01,Rust,40642,1481
2015-07-01,Scala,61589,2997
2015-07-01,Swift,52306,3637
2015-07-01,TypeScript,56752,2281
2015-10-01,C,261249,15777
2015-10-01,C#,265799,12930
2015-10-01,C++,395489,19482
2015-10-01,Dart,9251,358
2015-10-01,Go,194149,8271
2015-10-01,Haskell,38457,2156
2015-10-01,Java,698597,36388
2015-10-01,JavaScript,1296196,64974
