quarter,language,push_events,unique_actors
2025-01-01,C,62111.384619357596,8902
2025-01-01,C#,37393.245782216742,2730
2025-01-01,C++,111823.91104857573,7506
2025-01-01,Dart,7990.9303510214613,296
2025-01-01,Go,103731.6805659878,4237
2025-01-01,Haskell,3140.4594297306808,642
2025-01-01,Java,144924.8150394129,7550
2025-01-01,JavaScript,159784.85155044383,19410
2025-01-01,Julia,1296.6266558248767,193
2025-01-01,Kotlin,20417.339264769227,1665
2025-01-01,Lua,4939.268987069343,2049
2025-01-01,Objective-C,4258.1432533426459,2152
2025-01-01,PHP,77283.800512162474,5322
2025-01-01,Perl,11949.185749699283,3669
2025-01-01,Python,217289.22254164779,16651
2025-01-01,R,2326.4705324730376,1353
2025-01-01,Ruby,83324.135303094154,7569
2025-01-01,Rust,17001.446254590363,1306
2025-01-01,Scala,33484.847454801122,1236
2025-01-01,Swift,12966.881904548281,1182
2025-01-01,TypeScript,113735.8347213002,5161
2025-04-01,C,47739.96102145093,8461
2025-04-01,C#,29876.804951686074,2550
2025-04-01,C++,93688.405627033964,7192
2025-04-01,Dart,6918.4232724877274,272
2025-04-01,Go,82633.883667251313,4082
2025-04-01,Haskell,3009.3482044719185,599
2025-04-01,Java,125888.52796725102,7249
2025-04-01,JavaScript,130789.91945269782,18054
2025-04-01,Julia,1122.6934805207597,206
2025-04-01,Kotlin,17624.578571978825,1559
2025-04-01,Lua,3780.8104193758968,1987
2025-04-01,Objective-C,4245.24359334911,2028
2025-04-01,PHP,61177.96166466186,4838
2025-04-01,Perl,8995.414079758315,3537
2025-04-01,Python,170426.35548913677,15770
2025-04-01,R,2011.4559982030876,1334
2025-04-01,Ruby,59899.326664830078,6970
2025-04-01,Rust,13144.390502973358,1252
2025-04-01,Scala,20368.6463006787,1183
2025-04-01,Swift,10732.009973491811,1102
2025-04-01,TypeScript,91102.996242651527,4883
2025-07-01,C,34934.159786089316,7802
2025-07-01,C#,21879.695396808951,2291
2025-07-01,C++,67796.01059921924,6547
2025-07-01,Dart,4256.2183878387186,271
2025-07-01,Go,60147.905165030796,3741
2025-07-01,Haskell,2138.9066997733548,568
2025-07-01,Java,88033.02824747331,6724
2025-07-01,JavaScript,91093.578405585533,16534
2025-07-01,Julia,866.65131567082051,207
2025-07-01,Kotlin,12285.066696871412,1469
2025-07-01,Lua,2393.4883183693623,1848
2025-07-01,Objective-C,3144.7309689113786,1936
2025-07-01,PHP,50258.120532891306,4285
2025-07-01,Perl,6185.97836756136,3264
2025-07-01,Python,120898.91892647832,14294
2025-07-01,R,1810.8292914483036,1224
2025-07-01,Ruby,53970.396372159565,6467
2025-07-01,Rust,9545.35001355396,1166
2025-07-01,Scala,9420.5355214830142,1099
2025-07-01,Swift,8261.7475100599368,1116
2025-07-01,TypeScript,66307.218745167382,4518
2025-10-01,C,30433.296207730607,7350
2025-10-01,C#,21276.485052831176,2130
2025-10-01,C++,61517.437398252354,6066
2025-10-01,Dart,3565.0877119350544,244
2025-10-01,Go,45551.212891784962,3402
2025-10-01,Haskell,2899.5205709799479,441
2025-10-01,Java,75181.394099472658,6194
2025-10-01,JavaScript,83338.646833610983,15692
2025-10-01,Julia,1111.2998318998784,193
2025-10-01,Kotlin,10312.553021132964,1363
2025-10-01,Lua,2273.332029763892,1617
2025-10-01,Objective-C,2591.0158760991344,1830
2025-10-01,PHP,45341.011762521746,4133
2025-10-01,Perl,5389.9328607350753,2979
2025-10-01,Python,118045.28926269084,13449
2025-10-01,R,1315.079797469321,972
2025-10-01,Ruby,46644.701261463073,5942
2025-10-01,Rust,8009.847296501106,993
2025-10-01,Scala,7916.85675845039,1014
2025-10-01,Swift,6693.5961383469812,1005
2025-10-01,TypeScript,56746.266839302923,4258
2026-01-01,C,35006.659826675263,7537
2026-01-01,C#,22312.345590894816,2163
2026-01-01,C++,65839.59173098742,6252
2026-01-01,Dart,3849.9502248788,248
2026-01-01,Go,51214.014952275546,3558
2026-01-01,Haskell,3081.6230538646137,420
2026-01-01,Java,81956.81272102402,6381
2026-01-01,JavaScript,94956.39213509261,16901
2026-01-01,Julia,728.927151398775,188
2026-01-01,Kotlin,9728.9916197484945,1421
2026-01-01,Lua,2620.0963496927625,1662
2026-01-01,Objective-C,3247.129394801425,1937
2026-01-01,PHP,45194.173224068887,4419
2026-01-01,Perl,6067.8454160971223,3027
2026-01-01,Python,131530.38010159828,14070
2026-01-01,R,1340.9320851117459,1024
2026-01-01,Ruby,49011.083526051283,6372
2026-01-01,Rust,9647.2044279412585,984
2026-01-01,Scala,8697.9871526402367,1077
2026-01-01,Swift,6755.1804218339084,1107
2026-01-01,TypeScript,66823.669078039718,4451
2026-04-01,C,25026.276002679431,6428
2026-04-01,C#,16430.329159932666,1837
2026-04-01,C++,46117.990174863095,5360
2026-04-01,Dart,2301.2272657885051,226
2026-04-01,Go,36416.326484939658,3072
2026-04-01,Haskell,2302.450544974874,356
2026-04-01,Java,54531.7120297257,5482
2026-04-01,JavaScript,64410.358366618646,14211
2026-04-01,Julia,365.94160287941389,178
2026-04-01,Kotlin,6081.8808432156093,1274
2026-04-01,Lua,1779.4111429690327,1458
2026-04-01,Objective-C,2169.6900163229129,1692
2026-04-01,PHP,29794.074731510078,3771
2026-04-01,Perl,4127.9742283105106,2643
2026-04-01,Python,88876.266431717333,12100
2026-04-01,R,945.25221838092307,892
2026-04-01,Ruby,32862.625459721647,5485
2026-04-01,Rust,6382.24030476569,878
2026-04-01,Scala,5825.105414092056,987
2026-04-01,Swift,5037.3295942608784,987
2026-04-01,TypeScript,44334.083687477767,3870
