month,language,push_events,unique_actors,events_per_actor,actor_rank
2011-01,C#,5597,2360,2.3716101694915253,6
2011-01,C++,4947,1935,2.5565891472868216,7
2011-01,Java,16114,6034,2.6705336426914155,2
2011-01,JavaScript,17370,6181,2.810224882705064,1
2011-01,PHP,10508,3992,2.632264529058116,4
2011-01,Python,11859,4443,2.6691424713031737,3
2011-01,Ruby,8602,3650,2.356712328767123,5
2011-02,C#,6413,2473,2.5932066316215123,6
2011-02,C++,5486,2055,2.669586374695864,7
2011-02,Java,16243,6555,2.477955758962624,2
2011-02,JavaScript,18194,6642,2.7392351701294797,1
2011-02,PHP,11309,4763,2.3743439009027925,4
2011-02,Python,13059,5389,2.423269623306736,3
2011-02,Ruby,9435,3799,2.483548302184785,5
2011-03,C#,6681,2724,2.452643171806167,6
2011-03,C++,6000,2469,2.4301336573511545,7
2011-03,Java,18263,7668,2.381716223265519,1
2011-03,JavaScript,18758,6597,2.843413672881613,2
2011-03,PHP,12155,4943,2.459032975925551,4
2011-03,Python,14273,5500,2.595090909090909,3
2011-03,Ruby,9829,4088,2.4043542074363997,5
2011-04,C#,7130,3018,2.362491716368456,6
2011-04,C++,6299,2446,2.5752248569092395,7
2011-04,Java,19341,7959,2.430079155672823,1
2011-04,JavaScript,21780,7859,2.7713449548288587,2
2011-04,PHP,12614,4844,2.6040462427745665,4
2011-04,Python,14052,6086,2.3089056851790994,3
2011-04,Ruby,10458,4147,2.521823004581625,5
2011-05,C#,8040,3235,2.48531684698609,6
2011-05,C++,6642,2726,2.4365370506236244,7
2011-05,Java,20728,7677,2.700013025921584,2
2011-05,JavaScript,22228,7739,2.8722057113322133,1
2011-05,PHP,12573,5595,2.2471849865951743,4
2011-05,Python,15919,6201,2.5671665860345105,3
2011-05,Ruby,10823,4350,2.4880459770114944,5
2011-06,C#,8206,3199,2.5651766176930293,6
2011-06,C++,7216,2845,2.5363796133567664,7
2011-06,Java,20801,8885,2.3411367473269555,1
2011-06,JavaScript,23262,8461,2.7493204112989007,2
2011-06,PHP,14486,6344,2.283417402269861,3
2011-06,Python,16174,6159,2.626075661633382,4
2011-06,Ruby,11561,4795,2.4110531803962463,5
2011-07,C#,9112,3859,2.361233480176212,6
2011-07,C++,7264,2975,2.4416806722689075,7
2011-07,Java,21809,8709,2.504191066712596,1
2011-07,JavaScript,25118,8318,3.0197162779514306,2
2011-07,PHP,14142,5449,2.5953385942374747,4
2011-07,Python,16876,7268,2.321959273527793,3
2011-07,Ruby,11762,5128,2.2936817472698907,5
2011-08,C#,9372,3523,2.660232756173716,6
2011-08,C++,8407,3331,2.5238667066946863,7
2011-08,Java,21891,8488,2.579052780395853,2
2011-08,JavaScript,26578,9708,2.737742068397198,1
2011-08,PHP,14230,6069,2.34470258691712,4
2011-08,Python,17444,7243,2.408394311749275,3
2011-08,Ruby,12508,5051,2.476341318550782,5
2011-09,C#,9591,3749,2.558282208588957,6
2011-09,C++,8499,3431,2.4771203730690763,7
2011-09,Java,23876,8714,2.739958687170071,2
2011-09,JavaScript,26553,9075,2.9259504132231404,1
2011-09,PHP,14981,6237,2.4019560686227357,4
2011-09,Python,19404,8206,2.364611260053619,3
2011-09,Ruby,12295,4930,2.493914807302231,5
2011-10,C#,9806,3879,2.5279711265790152,6
2011-10,C++,8906,3844,2.316857440166493,7
2011-10,Java,23240,8210,2.830694275274056,2
2011-10,JavaScript,29542,9960,2.9660642570281124,1
2011-10,PHP,16098,5858,2.7480368726527824,4
2011-10,Python,20162,7862,2.564487407784279,3
2011-10,Ruby,13058,5690,2.2949033391915643,5
2011-11,C#,9739,3907,2.492705400563092,6
2011-11,C++,8470,3568,2.3738789237668163,7
2011-11,Java,25161,10975,2.2925740318906604,2
2011-11,JavaScript,32411,11519,2.8136991058251586,1
2011-11,PHP,16661,7035,2.3683013503909027,4
2011-11,Python,21616,8324,2.596828447861605,3
2011-11,Ruby,13471,5813,2.3173920522965767,5
2011-12,C#,10641,4233,2.513819985825656,6
2011-12,C++,9285,3663,2.534807534807535,7
2011-12,Java,25885,10620,2.437382297551789,2
2011-12,JavaScript,31640,11155,2.8363962348722547,1
2011-12,PHP,18740,6737,2.7816535549948047,4
2011-12,Python,24297,9616,2.526726289517471,3
2011-12,Ruby,14863,5165,2.8776379477250726,5
2012-01,C#,12064,5291,2.2800982800982803,6
2012-01,C++,10898,3865,2.8196636481241915,7
2012-01,Java,28332,12126,2.3364670954972784,2
2012-01,JavaScript,33829,12677,2.668533564723515,1
2012-01,PHP,17850,7642,2.3357759748756868,4
2012-01,Python,25511,10262,2.4859676476320405,3
2012-01,Ruby,15496,6717,2.30698228375763,5
2012-02,C#,11991,4730,2.535095137420719,6
2012-02,C++,11094,4590,2.4169934640522874,7
2012-02,Java,28489,11128,2.5601186196980588,3
2012-02,JavaScript,37263,14366,2.593832660448281,1
2012-02,PHP,19796,7464,2.652197213290461,4
2012-02,Python,28714,11652,2.464297974596636,2
2012-02,Ruby,15544,6046,2.5709560039695667,5
2012-03,C#,12315,5501,2.238683875658971,6
2012-03,C++,11256,4265,2.63915592028136,7
2012-03,Go,1087,423,2.569739952718676,8
2012-03,Java,32023,11984,2.672146194926569,2
2012-03,JavaScript,37334,12533,2.978855820633528,1
2012-03,PHP,21685,8926,2.429419672865785,4
2012-03,Python,27611,10872,2.5396431199411333,3
2012-03,Ruby,18137,7772,2.3336335563561503,5
2012-04,C#,13559,5973,2.270048551816508,6
2012-04,C++,12078,4593,2.6296538210320053,7
2012-04,Go,1825,744,2.452956989247312,8
2012-04,Java,34007,11894,2.859172692113671,2
2012-04,JavaScript,40706,16048,2.536515453639083,1
2012-04,PHP,21536,9195,2.342142468733007,4
2012-04,Python,29271,11482,2.5492945479881555,3
2012-04,Ruby,16102,6464,2.491027227722772,5
2012-05,C#,14412,5831,2.471617218315898,6
2012-05,C++,12234,4572,2.6758530183727034,7
2012-05,Go,2367,905,2.6154696132596684,8
2012-05,Java,35161,12939,2.717443388206198,3
2012-05,JavaScript,40248,13650,2.9485714285714284,1
2012-05,PHP,22281,8538,2.6096275474349966,4
2012-05,Python,30737,13230,2.323280423280423,2
2012-05,Ruby,18033,6502,2.773454321747155,5
2012-06,C#,15700,6167,2.545808334684612,6
2012-06,C++,13210,5261,2.5109294810872456,7
2012-06,Go,2762,1078,2.562152133580705,8
2012-06,Java,35003,15513,2.256365628827435,1
2012-06,JavaScript,41637,14003,2.973434264086267,2
2012-06,PHP,22946,10475,2.19054892601432,4
2012-06,Python,31279,12070,2.591466445733223,3
2012-06,Ruby,18098,6599,2.74253674799212,5
2012-07,C#,15010,5868,2.557941376959782,6
2012-07,C++,13287,5014,2.649980055843638,7
2012-07,Go,3201,1367,2.341623994147769,8
2012-07,Java,34242,13286,2.5772994129158517,2
2012-07,JavaScript,43836,16414,2.670647008651152,1
2012-07,PHP,23743,8721,2.7225088865955738,4
2012-07,Python,32333,13048,2.478004291845493,3
2012-07,Ruby,19309,7781,2.481557640406117,5
2012-08,C#,15050,5581,2.696649345995341,7
2012-08,C++,13749,6084,2.259861932938856,6
2012-08,Go,3878,1677,2.312462731067382,8
2012-08,Java,37211,14223,2.6162553610349435,2
2012-08,JavaScript,44733,14711,3.0407858065393243,1
2012-08,PHP,23549,9890,2.381092012133468,4
2012-08,Python,31444,12932,2.4314877822455925,3
2012-08,Ruby,19520,8637,2.260043996758134,5
2012-09,C#,13875,5485,2.5296262534184137,6
2012-09,C++,13218,5039,2.6231395118078984,7
2012-09,Go,4113,1685,2.440949554896142,8
2012-09,Java,37642,14629,2.5731082097204183,2
2012-09,JavaScript,47720,16572,2.8795558773835386,1
2012-09,PHP,23937,9729,2.460376194881283,4
2012-09,Python,34096,14240,2.39438202247191,3
2012-09,Ruby,19350,7505,2.578281145902732,5
2012-10,C#,15031,6234,2.411132499197947,6
2012-10,C++,12622,5541,2.2779281718101427,7
2012-10,Go,4663,1970,2.367005076142132,8
2012-10,Java,36003,13774,2.613837665166255,2
2012-10,JavaScript,48971,17554,2.789734533439672,1
2012-10,PHP,24139,9211,2.620670936923244,4
2012-10,Python,36768,13602,2.703131892368769,3
