language,method,method_label,x,y,total_push_events,avg_share_pct,total_unique_actors
C,pca,PCA,3.890217718905769,1.7710471476350458,6095516,4.856861963340823,900690
C#,pca,PCA,5.517441488601783,-4.580892116769093,16574065,8.462098866787409,362839
C++,pca,PCA,6.988489251927829,0.6720816242152313,9930758,7.382190664480297,826958
Dart,pca,PCA,-8.057412119132858,-0.4398124515789771,378103,0.295761517822908,20470
Go,pca,PCA,2.3182707254863923,-2.9666429688771667,6039562,4.102650354305577,317241
Haskell,pca,PCA,-7.120469925190852,1.677033290463403,609654,0.4910525629537782,65509
Java,pca,PCA,10.392984410406504,1.299326056133946,16106230,11.910417960102818,961606
JavaScript,pca,PCA,14.720536108057658,-0.7635556797746897,35828850,21.45866269232887,2643812
Julia,pca,PCA,-9.362612436656716,0.2456322605552969,176000,0.0916778464083119,18514
Kotlin,pca,PCA,-5.637564594131219,-1.4773213918098484,1082614,0.7790707868331034,104799
Lua,pca,PCA,-7.03963211386109,0.419289662457723,765927,0.4571776687658836,157796
Objective-C,pca,PCA,-5.474140555050862,2.451356074933273,1163558,0.8704981714123565,345410
PHP,pca,PCA,7.052761687492837,2.402238425383742,10050888,7.854792842165062,738072
Perl,pca,PCA,-5.137721759184804,0.9513587002162712,1011708,0.8749813347000267,335126
Python,pca,PCA,12.59519188232538,0.5524495664500918,21133487,15.657731484913649,1764495
R,pca,PCA,-8.210065446114504,0.1779883234480119,522442,0.2597047993296653,128853
Ruby,pca,PCA,5.317156285339351,3.802417829821737,6596943,6.965023084072817,935659
Rust,pca,PCA,-5.571012660092361,-1.1303598025211887,1194876,0.7724694205232586,83974
Scala,pca,PCA,-3.575279413396636,0.7198306783322458,1646220,1.2699100644906045,122243
Swift,pca,PCA,-5.680126726401055,-0.9721381140560608,1443391,0.7509469530150464,142016
TypeScript,pca,PCA,2.0729881906694505,-4.811327114658991,6146440,4.436318961247738,359881
C,kpca,Kernel PCA (RBF),0.5635463215808968,-0.3394683917248632,6095516,4.856861963340823,900690
C#,kpca,Kernel PCA (RBF),0.4426701866317555,-0.2224502831461011,16574065,8.462098866787409,362839
C++,kpca,Kernel PCA (RBF),0.7503172169244734,-0.0565850833603797,9930758,7.382190664480297,826958
Dart,kpca,Kernel PCA (RBF),-0.5626277178774844,0.1302972438433823,378103,0.295761517822908,20470
Go,kpca,Kernel PCA (RBF),0.3553241327615961,-0.6188789585956503,6039562,4.102650354305577,317241
Haskell,kpca,Kernel PCA (RBF),-0.5561185558639332,0.1226066191663544,609654,0.4910525629537782,65509
Java,kpca,Kernel PCA (RBF),0.7402596011599251,0.4199186117010879,16106230,11.910417960102818,961606
JavaScript,kpca,Kernel PCA (RBF),0.5042434237674864,0.6226612347058229,35828850,21.45866269232887,2643812
