language,method,method_label,x,y,total_push_events,avg_share_pct,total_unique_actors,z
C,pca,PCA,1.5319595190274404,2.9327986651806324,4367226,3.928775814838036,1743409,0.7054612639653358
C#,pca,PCA,5.498110479914879,2.496332019439899,5893288,5.121370683914723,2380153,0.8856723146776762
C++,pca,PCA,4.052777681043119,1.9090852331877248,5417606,4.584946117536749,2155325,0.9320150680948672
Dart,pca,PCA,0.3882403565886623,-7.15540699725,5286974,3.957027329701022,2114040,-2.969708692871228
Go,pca,PCA,3.5512959196628384,-4.6951093181238495,6106099,4.577036956597448,2420693,-3.277867576082855
Haskell,pca,PCA,-12.814678876182407,0.9387122084720536,1307190,1.1018389386709484,525871,0.4726728613304176
Java,pca,PCA,15.024873368445045,4.551513484481947,10649233,9.997440388355766,4115597,0.8381388278963848
JavaScript,pca,PCA,26.409703636883627,1.7828827729704568,23397479,18.958067121515302,8400426,1.6274245214187388
Julia,pca,PCA,-9.407289098686553,-6.401105181439892,2432233,1.8880278189973967,975839,-0.530914381200205
Kotlin,pca,PCA,-10.3462082908859,-8.967809273483972,2803880,2.440588883777426,1134693,3.619537727742038
Lua,pca,PCA,-9.715308659785515,1.629014583438298,1760751,1.5346384881841455,709237,0.4467361717419992
Objective-C,pca,PCA,-13.11656129500346,10.04827435459825,1037881,2.39967052387679,418713,-1.6849547662791062
PHP,pca,PCA,1.7154557859942678,7.592509458875537,4041034,4.692085585224304,1619274,-0.5217670836024065
Perl,pca,PCA,-11.73449269378556,6.814081386072807,1201958,1.6098529144139295,484486,-0.8746394665226689
Python,pca,PCA,23.048986633849943,0.8706390451212138,19540304,15.30602863205692,7885694,1.5406273888322717
R,pca,PCA,-1.7286150439099328,1.197116183872266,3596759,2.974309430424798,1440239,0.8582673625381191
Ruby,pca,PCA,-6.409591292895976,8.475496791956505,2062551,2.759964512971545,823296,-1.1977547985716372
Rust,pca,PCA,-6.5100000877430135,-10.051117924464956,3890454,3.1816836768270678,1861719,2.6882340785574623
Scala,pca,PCA,-4.599371643075267,3.1693226300502144,2662153,2.496465165166017,1065806,0.4650347043651293
Swift,pca,PCA,-8.2727414160411,-7.707378441359159,2851196,2.3068912040399217,1136517,0.4218298907062793
