language,mean_share_pct,std_share_pct,min_share_pct,max_share_pct,share_first_year,share_last_year,share_change_pp,trend_slope,first_year,last_year,volatility_z,change_z,is_outlier
JavaScript,18.9581,0.9931,16.8031,21.7875,19.5809,19.4767,-0.1042,-0.003018,2011,2024,-0.174,0.03,False
Python,15.306,1.07,13.3313,18.3945,14.0453,17.2758,3.2305,0.016309,2011,2024,-0.08,0.755,False
Java,9.9974,2.6017,6.3064,15.8832,14.761,6.8905,-7.8705,-0.051324,2011,2024,1.807,-1.659,True
TypeScript,9.9154,3.2426,0.7291,14.2465,1.0569,13.4672,12.4103,0.068763,2012,2024,2.596,2.75,True
C#,5.1214,0.7264,4.095,6.8192,6.2638,4.4434,-1.8204,-0.013411,2011,2024,-0.503,-0.344,False
PHP,4.6921,2.5799,1.0,9.6616,9.4051,1.2323,-8.1729,-0.052132,2011,2024,1.78,-1.725,True
C++,4.5849,0.4638,3.8985,5.6657,5.3887,4.2249,-1.1638,-0.007903,2011,2024,-0.826,-0.201,False
Go,4.577,1.1099,0.5339,6.0377,1.5025,5.4221,3.9196,0.019237,2012,2024,-0.031,0.904,False
Dart,3.957,1.1845,0.2736,5.384,0.9322,5.0007,4.0685,0.023759,2013,2024,0.061,0.937,False
C,3.9288,0.7665,2.7586,5.6935,5.3601,3.0713,-2.2887,-0.014808,2011,2024,-0.454,-0.445,False
Rust,3.1817,1.1437,0.1634,4.5879,0.4617,4.2488,3.7871,0.029919,2015,2024,0.011,0.876,False
R,2.9743,0.2115,2.5655,3.5148,3.3061,2.9068,-0.3993,-0.002673,2011,2024,-1.137,-0.035,False
Ruby,2.76,1.8973,0.0178,6.5286,6.2269,0.14,-6.0869,-0.038916,2011,2024,0.939,-1.271,False
Scala,2.4965,0.6483,1.552,3.8603,3.6779,1.6809,-1.9971,-0.012721,2011,2024,-0.599,-0.382,False
Kotlin,2.4406,0.8254,0.1461,3.1918,0.5235,2.9852,2.4616,0.021072,2016,2024,-0.381,0.587,False
Objective-C,2.3997,1.631,0.0083,5.5854,5.1723,0.0703,-5.102,-0.04459,2011,2021,0.611,-1.057,False
Swift,2.3069,0.6983,0.1412,2.9514,0.2573,2.7554,2.498,0.014819,2014,2024,-0.538,0.595,False
Julia,1.888,0.5952,0.1041,2.525,0.4154,2.374,1.9586,0.012835,2014,2024,-0.665,0.478,False
Perl,1.6099,1.1075,0.0109,3.8508,3.601,0.0807,-3.5203,-0.022721,2011,2024,-0.034,-0.713,False
Lua,1.5346,0.2247,1.2079,2.056,1.9238,1.3255,-0.5983,-0.004165,2011,2024,-1.121,-0.078,False
Haskell,1.1018,0.1083,0.9459,1.3852,1.287,1.0347,-0.2524,-0.001739,2011,2024,-1.264,-0.003,False
