month,hhi,top3_share,top3_share_pct,leader
2011-01,0.16752,0.604598,60.46,JavaScript
2011-02,0.164043,0.59267,59.27,JavaScript
2011-03,0.164314,0.596726,59.67,JavaScript
2011-04,0.167168,0.601839,60.18,JavaScript
2011-05,0.166079,0.607253,60.73,JavaScript
2011-06,0.164181,0.592266,59.23,JavaScript
2011-07,0.165767,0.601444,60.14,JavaScript
2011-08,0.164608,0.596876,59.69,JavaScript
2011-09,0.165134,0.606194,60.62,JavaScript
2011-10,0.16611,0.603781,60.38,JavaScript
2011-11,0.170715,0.620941,62.09,JavaScript
2011-12,0.165558,0.604517,60.45,JavaScript
2012-01,0.165023,0.608918,60.89,JavaScript
2012-02,0.16791,0.617865,61.79,JavaScript
2012-03,0.16345,0.600614,60.06,JavaScript
2012-04,0.165319,0.614984,61.5,JavaScript
2012-05,0.161918,0.604914,60.49,JavaScript
2012-06,0.159977,0.597442,59.74,JavaScript
2012-07,0.160424,0.596942,59.69,JavaScript
2012-08,0.160479,0.599511,59.95,JavaScript
2012-09,0.164506,0.615918,61.59,JavaScript
2012-10,0.16124,0.608406,60.84,JavaScript
2012-11,0.161416,0.607802,60.78,JavaScript
2012-12,0.155942,0.594832,59.48,JavaScript
2013-01,0.15352,0.593728,59.37,JavaScript
2013-02,0.15677,0.605967,60.6,JavaScript
2013-03,0.151381,0.584614,58.46,JavaScript
2013-04,0.152604,0.59438,59.44,JavaScript
2013-05,0.157155,0.60367,60.37,JavaScript
2013-06,0.153895,0.597576,59.76,JavaScript
2013-07,0.15196,0.593754,59.38,JavaScript
2013-08,0.152549,0.59404,59.4,JavaScript
2013-09,0.149404,0.589219,58.92,JavaScript
2013-10,0.154367,0.600609,60.06,JavaScript
2013-11,0.149501,0.589446,58.94,JavaScript
2013-12,0.150355,0.588675,58.87,JavaScript
2014-01,0.14852,0.580966,58.1,JavaScript
2014-02,0.143595,0.570526,57.05,JavaScript
2014-03,0.145381,0.573326,57.33,JavaScript
2014-04,0.1467,0.584113,58.41,JavaScript
2014-05,0.146928,0.580163,58.02,JavaScript
2014-06,0.146511,0.584698,58.47,JavaScript
2014-07,0.146123,0.580026,58.0,JavaScript
2014-08,0.145025,0.579291,57.93,JavaScript
2014-09,0.140444,0.564454,56.45,JavaScript
2014-10,0.14158,0.566519,56.65,JavaScript
2014-11,0.143627,0.573124,57.31,JavaScript
2014-12,0.142381,0.572207,57.22,JavaScript
2015-01,0.13752,0.553254,55.33,JavaScript
2015-02,0.139045,0.557579,55.76,JavaScript
