month,language,push_events,unique_actors,month_total,share,share_pct
2011-01,C,3973,1555,74993,0.0529782779726107,5.297827797261077
2011-01,C#,4496,1845,74993,0.0599522622111397,5.995226221113971
2011-01,C++,3819,1560,74993,0.0509247529769445,5.092475297694452
2011-01,Haskell,998,419,74993,0.0133079087381488,1.3307908738148897
2011-01,Java,11611,4505,74993,0.1548277839264998,15.482778392649982
2011-01,JavaScript,14706,5450,74993,0.1960983025082341,19.60983025082341
2011-01,Lua,1391,574,74993,0.018548397850466,1.8548397850466043
2011-01,Objective-C,4068,1667,74993,0.0542450628725347,5.424506287253477
2011-01,PHP,7231,2802,74993,0.0964223327510567,9.642233275105678
2011-01,Perl,2797,1078,74993,0.0372968143693411,3.729681436934114
2011-01,Python,10036,3740,74993,0.1338258237435494,13.38258237435494
2011-01,R,2341,829,74993,0.0312162468497059,3.1216246849705973
2011-01,Ruby,4644,1812,74993,0.0619257797394423,6.192577973944235
2011-01,Scala,2882,1123,74993,0.0384302534903257,3.843025349032577
2011-02,C,4133,1637,80137,0.051574179218089,5.157417921808903
2011-02,C#,5254,1986,80137,0.0655627238354318,6.556272383543183
2011-02,C++,4386,1951,80137,0.0547312726955089,5.473127269550894
2011-02,Haskell,1000,380,80137,0.0124786303455332,1.2478630345533277
2011-02,Java,11492,4652,80137,0.1434044199308684,14.340441993086838
2011-02,JavaScript,15868,5751,80137,0.198010906322922,19.8010906322922
2011-02,Lua,1433,589,80137,0.0178818772851491,1.7881877285149184
2011-02,Objective-C,4293,1753,80137,0.0535707600733743,5.357076007337434
2011-02,PHP,7708,3146,80137,0.0961852827033704,9.618528270337048
2011-02,Perl,2866,1159,80137,0.0357637545702983,3.5763754570298367
2011-02,Python,11091,4071,80137,0.1384004891623095,13.840048916230954
2011-02,R,2580,985,80137,0.0321948662914758,3.2194866291475845
2011-02,Ruby,5054,1952,80137,0.0630669977663251,6.306699776632517
2011-02,Scala,2979,1142,80137,0.0371738397993436,3.7173839799343615
2011-03,C,4728,2011,85956,0.0550048862208571,5.500488622085718
2011-03,C#,5683,2529,85956,0.066115221741356,6.6115221741356045
2011-03,C++,4858,2127,85956,0.056517287914747,5.651728791474708
2011-03,Haskell,1143,437,85956,0.0132975010470473,1.3297501047047326
2011-03,Java,12678,4898,85956,0.1474940667318162,14.749406673181628
2011-03,JavaScript,15839,5686,85956,0.1842686956117083,18.42686956117083
2011-03,Lua,1679,686,85956,0.0195332495695472,1.953324956954721
2011-03,Objective-C,4511,1673,85956,0.0524803387779794,5.248033877797943
2011-03,PHP,8177,3552,85956,0.0951300665456745,9.513006654567452
2011-03,Perl,3310,1402,85956,0.0385080738982735,3.8508073898273536
2011-03,Python,11888,4879,85956,0.1383033179766392,13.830331797663922
2011-03,R,2873,1175,85956,0.0334240774349667,3.342407743496673
2011-03,Ruby,5468,2135,85956,0.0636139420168458,6.361394201684583
2011-03,Scala,3121,1320,85956,0.0363092745125413,3.6309274512541294
2011-04,C,4847,1867,91672,0.052873287372371,5.2873287372371065
2011-04,C#,5555,2352,91672,0.0605964743869447,6.059647438694475
2011-04,C++,5091,2085,91672,0.0555349506937778,5.553495069377782
2011-04,Haskell,1252,447,91672,0.0136573872065625,1.3657387206562528
2011-04,Java,13696,5469,91672,0.149402216598307,14.9402216598307
2011-04,JavaScript,17443,5776,91672,0.1902762021118771,19.027620211187717
2011-04,Lua,1790,681,91672,0.0195261366611397,1.9526136661139717
2011-04,Objective-C,4860,1908,91672,0.0530150973034296,5.3015097303429615
2011-04,PHP,8857,3861,91672,0.0966161968758181,9.661619687581812
2011-04,Perl,3430,1167,91672,0.0374160048869883,3.74160048869884
2011-04,Python,12737,5486,91672,0.1389410070686796,13.894100706867963
2011-04,R,2857,1216,91672,0.0311654594641766,3.1165459464176632
2011-04,Ruby,5844,2369,91672,0.0637490182389388,6.374901823893883
2011-04,Scala,3413,1497,91672,0.0372305611309887,3.7230561130988735
2011-05,C,5243,2049,96950,0.0540794223826714,5.407942238267148
2011-05,C#,6110,2326,96950,0.0630221763795771,6.30221763795771
2011-05,C++,5237,2214,96950,0.0540175348117586,5.401753481175864
2011-05,Haskell,1241,535,96950,0.012800412583806,1.280041258380609
2011-05,Java,13526,5461,96950,0.1395152140278494,13.95152140278494
2011-05,JavaScript,19116,7103,96950,0.1971738009283135,19.71738009283136
2011-05,Lua,1967,808,96950,0.0202888086642599,2.0288808664259927
2011-05,Objective-C,5130,1998,96950,0.0529138731304796,5.291387313047963
2011-05,PHP,9095,3445,96950,0.0938112429087158,9.381124290871584
2011-05,Perl,3442,1491,96950,0.0355028365136668,3.550283651366684
2011-05,Python,13579,4816,96950,0.1400618875709128,14.006188757091284
2011-05,R,3402,1416,96950,0.0350902527075812,3.5090252707581224
